participant_code,gender,education,household_income,own_rent,race,zip,environmental_issues_open,environmental_goals_open,energyhousingB_q1,energyhousingB_q2,energyhousingB_q3,ExtremeHeatA_q1,ExtremeHeatA_q2a,ExtremeHeatA_q2b,ExtremeHeatB_q1,ExtremeHeatB_q2a,ExtremeHeatB_q2b,trees_q1,trees_q2,trees_q3,trees_q4,environmental_issues_open_pre,environmental_goals_open_pre
119,2,2,1,rent,A person known as Black,,Need of more trees in the Fitchburg community. Need to teach people how to grow their food. ,,Where I don't feel cold in the winter & hot & bugs in the summer ,"Making sure everything is insulated, one light in bathrooms, put trees close to complex, ",It will be good to pay for other ult.,Always had AC,No,,I don't know,We have to try to google the resources. there's not really any way to get info except on facebook. ,"word to mouth, facebook, and mail to everyone through census.","Yes, for clean air ",First I would need to own space and I would let young adult & kids help beautify the property and we all learn how to growfruit & vegetables,I wouldn't because of the owner don't want anything to beautify his property,yes,Environmental needs in my community is needed more resources avail for not only the yound but the elderly as well ,"Sit outside more, clean yard. "
122,2,2,3,rent,A person known as Black,53714,I thought it was good cause I was allowed to share my ideas,Sharing ideas with the community about saving money,I will have complete control over my household and save money,Housing would be affordable. It will be accessible to everyone. I will put solar on roof and come up with ideas to save money. ,Yes it will allow me to save money and use the extra money for my household,"Yes, I've had to drink plenty of water and take plenty of cold water",The most I've ever experienced is dehydration. I've always keep water with me. ,I love to go swimming,"Hav a few cooling center, making water accessible. Making sure the homeless has somewhere to stay overnight.","libraries, job center","social media, grocery stores, libraries, apartment complex, buses and bus station making sure the info is accessible everywhere.","Yes, because it improves health, mental health it will improve the quality of air and cooling in the summer. ",I would get the community involved and take tunrs with the designed space. ,I live in an apartment complex and I think It'll be hard to get the community involved.,"Yes, because it'll promote climate change and help bring some of the cost of living down",Clean parks for children to play in. Cost of living.,help to keep my community clean
125,1,2,1,own,A person known as Black,,Climate change,use electric for utilities,it look like you can control your environment,everyone can have control of heat and cooling ,it would be nice ,Yes yes the best I could,no no,the land loard,they should contact people with instructions to cooling centers,cooling center,tell people,Yes they take out carbin,lot of trees plant in vaccant areas city,some people don't want trees,Yes I like trees,Climate control,conserve energy
126,2,5,2,rent,A person known as Black,53711,Home energy savings tips; investing in technology to address climate change Enforcing policies that force businesses to include energy efficient practices,taking action; being & staying involved bringing ideas,Staying cool - ,energy efficient,money to spend on more needed or better resources - pay bills - ,"Yes, went outside more, stay hydrated fan open window, nap","Yes, fainted - got treatment",water before rely - provide water to kids before events - water needs to be more accessible,"everyone has access to the cooling methods, cooking rooms included in homes","stay home AC, wear less clothes, nowhere","Street info centers, libraries, schools - home info w/ energy businesses - enforce policies where businesses have to have accountability","Absolutely, trees make a statement (their presence bring on happiness) reminder -> respect to what God has created (carbon dioxide - breathe)","the green space would be very open mindful - place to embrace nature, leaders in the community (diff organizations -> vote by ppl)",None - there is alot of space - people/neighborhds may disagree owners of the property,Yes,Extreme heat; energy saving/ trees/ green spaces/ nature # 1,"get involved in the community (events) local, city, state, federal"
127,2,2,1,rent,White,53714,awareness of our ** in this moment not 1960 or 2060 - them trees,"awareness to be open and caring, turn off lights and H2O (which I have ** reasons) to say alloud to people around !!",Earth ship,recycled H20 and solar,because ** keeps ** savings hope not to spend,"Yes - put wet cold hanky @ neck, went swimming, **, somewhere cool/ mooched off AC others","Yes, all of the above consequences",Just someone to help in those situations - I couldn't think straight really - or education of what to do!,"Building/Implementing parks w/ motion sensed water sprayers, trees cooling shelters cheaper not affordable housing paid work days for too hot day to work for outdoor work","AC gas station, grocery store, wet hankerchief or bandana or t-shirt to put or try to go swimming, the shade","Like said - cooling shelters (day & night) out of elements, more trees planted 4 shade, free public pools of water parks so water sprays u pwhen someone is on it, motion sensored","Yes. the one ** oxygen contributers, air cleaners? ",trees in the middle of roads and surrounding houses (( )) gender,"Trees in front yard more its kind of empty fruit trees/ fruit trees, graft trees","Yes I <3 the idea Start a place to ""ready to work!""That'd do it! Like I'm**",Us using too much of everything. Consciousness in general.,Save my mother Earth our children there is is a problem
129,1,2,1,rent,A person known as Black,53704,Clean Air Recycling,Recycle more and be more attentive of my energy use,it would be free of charge and all energy use would be very efficient. Solar power devices would be required. ,Efficient time controlled motion controlled solar power technology,would increase savings account to ultimately be able to have more options efficient options,Other than being outside with high temps usually have had access to cool off.,Only doing outside activities like playing ball usually finding trees or water helps,more water fountains around the city,"cooling centers for homeless and seniors also less fortunate, mandate AC in all rental properties",I am blessed to have A/C in my home the city offers free splash pads to get wet and cool off,Government and city leaders send out info to all households with resources and info,If we talking climate All neighborhood communtiies should have trees planted throughout the neighborhood,I would design in a circle form so that green space would be plentiful in everyone's yard,I have a few around my house so I would donate to a block with less,Yes because trees help fresh clean air in the neighborhood,Polution. Vehicles should required to be electric.,Recycle Reuse be more active helping keep the community clean
131,2,6,3,own,White,53715,"housing costs, lack of access to **, lack of green space, garbage","build for efficiency, public transportation, true recycling programs, increase green space",powered by renewables,"passive solar, heat pumps, green space for cooling, major insulation",I would use the savings to pay for healthcare,"We do not havev AC @ our house, we have a window unit that is insufficient","No, just **",,"cooling centers, free admission to pools, head checks, long term: increase energy efficiency of buildings ","internet for ideas, we use windows unit AC @ house","commercials, info sent to all households","Yes, beauty, carbon capture, cooling, food potential, pollination",Designed by people/families living in neighborhood - space would provide community space,"Power lives, maintenance","Yes - we need more trees, city provided maintenance even on private property would be great","affordable housing, environmental efficiency of housing, preserving green space, high energy costs directly relates to this","energy efficient building, better waste stream management"
133,2,6,5,rent,A person known as Black,53718,we gotta plant more trees,provide more info to our community,air all year around for affordable pricing & not changing season to season,free heat & electricity or let it all be included in rent - 1 bill - rent,"pay off other bills, put towards mental health","Yes, I bought several fans!",no illness yet,,makin' sure we all have air conditioner and fan & have lost bills to afford to run all day especially the elderly in our own house,I have no where to go ,"send the resources through out billing, emails & texts & community events. Just like this/ monthly or even daily","Yes they make the community look beautiful, shade & paper that I'm writin on!",The block community would lead it by showin up weekly to build up that space,"Getting the community to stay involved, would there be enough $s to pay to upkeep as well? & make sure we're educated to upkeep","I would to learn more about plants, to help build community & to learn more abt trees & how they grow","Poverty - being able to pay bills, because they gettin' too high to pay",Keep showin' up to learn 
136,2,2,1,rent,A person known as Black,53704,"Heat, trees, energy saving",saving energy,being able to run the heat and ac without a worry about a bill ,making sure heat and cooling is included in the rent so it's one thing that will always be taken care of.,More spending money on thing that are needed to help me everyday.,"Yes, pertaining to a broken AC in my car, so I made sure all windows stayed down in the car and less clothes. ","Just being thirsty was/is my problem, so I always make sure I am well hydrated",More access to fans at the stores because they were sold out alot,"Making sure that everyone is able to stay cool, and given tips to stay cool. Provide complimentary fans to the community","call 211 who has lots of resources, wear less clothes, reframe from using stove as it could cause more heat to arise. ",Putting it out there and accessible to everyone who needs it and help contribute to staying cool ,"Yes, pertaining to your health, helping children learn, improving air quality, and reducing energy cost","It would be designed to partake in all key factors of living, community, and I would assign it to a person who familiarize in science geographies","Some challenges may be the maintaining the growth of trees, and the well being of the people around the neighborhood.","If and when depending my free time I would, I feel that its fun to experience planting at hand. ",construction would be one of the issues,learn how I can improve my health and others
139,2,2,1,rent,A person known as Black,53719,No gardening,cleaning the litter on my block,Weatherized windows without drafts and carpet cleaning every 3 months provided by landlord. ,All windows. Storm windows. And all screens. Clean blinds and ceiling fans. ,I could use the other $200 for food considering I don't get food stamps. ,"I got together with some family and friends. We were young and energetic soo, we walked to the lake",Living in Mississippi. Running in the heat and fainted. Stop running in the sun. ,Doesn't apply,Let the fire hydrantes flow like they used to. Only on certain days or super hot days. ,"Library, or restaurants, or grocery stores",Distributing cold water  bottles for free. Give away water hoes. Water balloons for the kids.,"Yes, The shade trees provide are cooling and relaxing.","It would be in the backyard, next to my daughters swing set, A garden.","Our maintenance man and a few others cut down 10 trees because they were old, and dead. ",Yes I would. For the most part everyone keeps they're yard clean. More planting would only help the environment.,Electricity,"To go fishing with my daughter storm, and throw back the smaller fish so they can grow."
142,2,2,1,rent,White,53703,Heat. It is deadly to my community.,"vote, turn of electronics when not used",I have adequate heating and cooling so that my health and comfort arent at risk. ,Central AC that is not loud and adequately and evenly distributes cooling and heating,I would be able to afford more nutritious food and other necessities.,Yes I currently live somewhere w/o adqeuate AC. My room does not have a window so I cannot install a window unit. I also lived in a homeless youth shelter in Chicago w/out AC. I couldn't do anything about it except go to the library during the day. ,"Yes, I have a chronic  health condition called POTS that causes extreme dehydration, lightheadedness, & fainting. I have to increase the dose of my meds in the summer. I have been hospitalized 3x in the past 2 years and it's always in July when it's hottest outside & my body in under extreme stress. ",I need to move somewhere w/ central AC or a window to install an AC unit but can't afford to move. We need more affordable housing w/ adequate cooling. ,We would all get AC in OUR APARTMENTS regardless of our ability to afford it. That means they need to require landlords to allow AC units regardless of whether or not it comes w/ the apartment. We would be given money to afford out utility costs. AC would be a human right. We would not have to leave our apartments to be cool ,"No where, b/c I have a disability and no car and cant get to cooling centers and dont feel safe sleeping there. I try to find friends I might be able to stay with but often can't. So I go to the hospital b/c I have health crises. ","There needs to be more affordable housing with adequate AC and affordable AC. I know there are resources but don't find them accessible (too costly, too much paperwork). ","Yes, because they remove carbon from the air and can improve mental health. They make neighborhood look not as ugly. ",The space would have grass and trees and paths to walk through. communities should lead this process - the people who live closest to this space or near it.,I don't have the time to maintain landscapes & I have a physical disablity that makes it impossible,"No, because I have a physical disability and don't have the physical ability to plant trees and I have very limited time between work and school and not feeling well. ","Heat, extreme heat (I have a disability that makes it dangerous to be in heat)",stop polluting companies and industries
144,2,6,3,rent,A person known as Black,53719,Energy efficient housing,"Do the things I have control over such as turning off the light, unpluging devices and planting plants","That will be nice but that not my current reality! In my perfect world, I will have solar panel roof and electric car! ",Give everyone energy efficient house and car,It will enable me to take my kids to distance parks because we will use that extra $200 for gas and food ,Not applicable!,n/a,n/a,The city would support private landlord and low income apartment building with energy efficient housing so this will not be a problem,I usually take my kids to the mall and costco when the AC is not working or to the community center while waiting for repairs.,In a perfect world I will be living in an energy efficient house and this will not,Trees are important because the bring in fresh air in an apartment when the AC is not working! I used it as an educational tool for my kids. ,My dream neighborhood will be filled with green spaces. I will make sure the the building are energy efficient and I will work with professional to lead the project! ,I will plant the trees in my block but the challenge is the inefficienciesof my current apartment! It's old and its has alot black mold and it's not smoke free,"Yes, I will be happy to join the city's new planting tree initiative!",Appropriate and insulated houses/ Energy efficient housings,my goal is to live in an energy efficient house and help contribut towards environment sustainability to the best of my knowledge/ability
145,2,2,2,rent,A person known as Black,,energy consumption,"less watse, being more resourceful, wasting less","better health, money saved, less asthma attacks for my kid, insulated windows & doors","solar powered buildings, better air systems","more money save for a first time family vacation, college fund, maybe more to pay other bills on time","Yes, I tried to stay as hydrated as possibly, moving as less as I could. ","Yes, I felt faint, then had a headache I usually rest & try to hydrate myself","cooling station, watering station, wellness checkups",no apt/house without central air and/or fan or cooling system lower cost,Listen and or look online for cooling stations check weather & stay in when its really really hot,making info/ resources available to all. Like knocking on doors to ensure everyone has things needed.,"Yes, they produce much needed carbon that we need to survive",community garden ,"not enough green space, more play space","possibly, would depend on time commitment","pollution, energy waste, overcrowding","being more eco friendly - less waste recycle, save more energy"
149,2,2,4,rent,A person known as Black,,The ability to afford to combat heat/cooling during hot/cld days. As well as climate change making the days hotter.,"plant a garden (community, talk to property owner), teach what I learned to people around me",My perfect step up would be a set up in my life where I wouldn't even have to worry about my heating and cooling needs. It should be a basic living right to have access to heat a/c. especially with the cost of living on the rise! ,"Solar paneled ** all throughout the units, solar panels @ the top of every complex. It's the most energy efficient option! ","It would help my well being by having more money left over in my budget which would contribute to less financial stress. Which in return would contribute to making my overall well-being better. less stress, happier life! ","Yes, the element in sun prairie. I had to leave and go to my moms house. Not even a fan could help. ","Yes, I actually passed out. When I got up I went to get water and went to my moms house. ",A cool house! It would be nice to be able to go to a spot in community to cool off! A pool in the apartment complex would have been nice too. ,"Officials bringing out water, food, & fans. Also providing a place for the community to cool down. ","I don't know any resources to keep cool during hot days. I just stay in the house, or go to my moms.","communicating this information to the community via social media, news, & email/mail. ","Yes, trees have many benefits to the earth and humanity. For example, they make the air quality better and are the habitat for wildlife.","my green spaces would be designed w/ tree houses that get their energy from solar poer, to help engage kids in learning about the importance of trees & wildlife. Also, community gardens. ",Where we would plant the trees. My community has very little space for trees. ,"Yes, I love trees, green and nature. Anything that would bring quality to life & my neighborhood I would join. ","extreme heat in the summer & extreme cold in the winter. When I lived in sun prairie we always had problems with the heating and cooling system & our community suffered. Hot summers, cold winters. Sun Prairie -> the Element",
150,2,,4,rent,A person known as Black,53719,Climate change and changing the way of living,cut down electricity we use,Central air/heat with timers that are controlled by the person living there.,"Instulation, energy efficient windows, LED bulbs, Energy efficient appliances, central air/heat with timers.","Energy efficient appliances, LED bulbs, lights/electric off not being used would be so much better to solving energy and lower the bills ","No. One of my old apartments did not have an AC, but I had fans to cool off. ",No,,"A community pool, cooling centers, water","tenant resources, community resources, social media","posting information on community sites/social medias, posting information in apartment buildings",Yes I do think trees are because they help bring in clean air and house/feed animals,make a community garden for people to plant and maintain healthy foods for the community to eat. ,would people make sure the ground the trees are planted are clean/healthy from trash/litter.,maybe.,"Littering, trying to keep our community clean","Recycle, no littering, dispose of items properly, protect wildlife"
153,2,2,1,rent,A person known as Black,53713,Everything that the table leaders had discussed,To educate my daughter more on things I learned that maybe she havent brought to my attention or told me about or discussed with me,"It would be beyond, WONDERFUL! My fiances would be much more better",They would have heated and cooling floors. They would have efficient windows that would keep out the heat and control blinds to keep heat out and keep the home cool. Have those self heated windows that the sun use to heat the home. (solar power) (over),WIth the $ being saved I'll be able to put that towards my daughter's other savings acct. For her education funds & her fun savings acct. What's left and each saved add more to her personal savings acct.,"I honestly dont and never had used my AC. I just would raise up ALL my windows. If I turn it on, I'll leave on for 10-15 mins. I just turn the fan on. Using it (AC) and leavingit on for excesses amnt of time, cost too much money. ","Yes, I had to admit myself to the ER only. ",,How to stay kool if don't have AC. How would they help the elderly. Having more trees & other ways of staying kool.,"Like if me and my daughter trying to stay kool keep the blinds close, windows up/or fan on. ",Have some handy resources avail. Free kooling appliances.,"Yes, It keeps kool in the summer. Make the place you live beautiful, And, it's a wonderful place to sit under and write, read, think & just relax. Plus, it's where some animals live and where certain fruits grow on.","There will be lots of flowers, plants, and artificial/peturfied trees, and those that you can plant & grow yourself",People that may not want you planting block their view.Community itself.,"Yes, because It'll be a wonderful experience and my daughter would loveto help and plant. This is somethingmy 12 yr old daughter has ALWAYS been talking about wanting to do.","trash everywhere, dirtiness","teach about how to recycle plastic, pick up trash rather we did it or not (with gloves & mask on) "
154,2,5,1,rent,A person known as Black,53704,Reduce Carbon Emissions,"First learn more about environmental issues in my local community. 2nd, find out where & how to get involved to improve my environment.","I would use renewable energy, energy efficient appliances, solar heat, completely weatherize my home (insulation, windows). ","Same as above and water saving toilets, auto off water faucets, motion sensor lights, install central heating & cooling",I would feel great about myself for saving energy & I could use the extra money to buy myself something nice (probably clothing & accessories) or go to a fun event w/ friends or family,"Yes, power outage from a hurricane - no AC in the summer in Mississippi. We opened windows, sat under shade outside","I felt faint, no energy after being in my garden in extreme heat. I went to urgent care to recieve treatment. ",I got the care I needed. Urgent care then stayed indoors. ,"cooling centers open 24/7, open swimming pools in schools, hotels and health clubs. Provide transportation. Landlords provide working energy efficient air conditioning & weatherization.","I stay at home & turn on my air conditioner, go to the park Go to the movies or mall to stay cool, go swimming in pool or lake or water park.","Advertise in places such as doctor's office, grocery stores, churches & schools.",Yes. There are so many healthy benefits at a low relatively cost.,"Everyone, every home or apt bldg would have space/land/window boxes to grow their own food.","Finding a good place to plant the trees, removing concrete or black top, maintenance of the trees. ",Yes I would. ,"Access to land & water (clean, fresh) sources (owning land)","Recycle, conserve natural resources"
155,1,2,1,rent,A person known as Black,,tech,to help out the your nighboorhood,have heaters and coolers for the house,have so many heaters for winter and coolers for summer,I don't know maybe it will be the best day of my life,none above,none above,unsure,Have a very cold place,the mall ,I don't know ,Yes because animales live in the trees,I don't know,Is the tree go to live in this kind of dirt,Yes,extreme heat,to not waste stuff
156,2,2,1,rent,White,53719,"climate change, lack of resources",recycle more use less energy & water,clean heat that is affordable clean cool air,clean energy efficient sytems,It would allow me to pay other debts,Yes ran the fans and cold water cloths. ,No life wasnt in danger but have felt faint with no energy,unsure,Many cooling places for people in need and transportation to cooling places,call 211. Information about places to go are available on the news. I try to keep blinds closed. ,Through social media and the news. Not sure there is easy way. ,Yes for shade and climate change for heavy rains to keep thing intact. Improve air quality,unsure,space to plant the trees & space for them to grow,Yes,The rising price of gas,
157,1,2,5,rent,A person known as Black,53713,I loved it,to use try green,Will would control what you want to do in your house,to have a solar system on my ruff,I could buy other things that I need,"No, I will get a fan ","Yes, I went to the doctor they said I was dehydrated to drink water",to drink water and go the the hotel and cool off,To lower the cost of our bill. Run your air.,I go to the swimming pools or hotels. ,To find more in our community on how we can keep cool.,"Yes, It help have ** and we need more trees","Lots of flowers, trees, make by tru green",people in the community might not wants us to plant them in their yard.,Yes. Because right now everyone needs climate change.,Living. Their Are a lot of Homeless people.,To Do more in the Community
159,2,2,11,own,White,53704,The changing climate and what we as individuals can do that will impact climate change.,"Is to reduce my carbon use in the world. It is also do what I can to improve climate around my environment by turning off lights when not using them, decreasing water consumption and to winterize my home.",Solar panels and geothermal heat - incentivize landlords to invest in smart home devices - motion sensor,"Rainwater collection to self contained closed geothermal system, solar panel roofs -> toilet & sink combos - rainwater drain systems drain into areas with shade vegetation. Rooftop gardens - build off of recyclable materials. ",It would allow me to save money for emergency expenses,Yes - waited until I sweat enough and fanned myself,"Yes, was too hot and dehydrated",A cooking area on my path,Use empty buildings/businesses throughout the city as cooling centers - and or employ mobile cooling centers throughout the city that offer free cold water & fruit/ electrolyte drinks ,I go in the shade or stay inside,Make it a part of the infrastructure of the city - make it visible  - offer free rides to cooling centers. Incentivizing local businesses to become cooling centers. ,"Absolutely they are essential - they reduce the ambient temperature, fruit trees would provide food, they support the local ecosystem, deep root systems help mitigate flooding.","I would have eco designers & arborists lead it community garden plots, community hammocks or hammock space","Obstruction of view, pests & tree disease",Yes,Access to nutritious healthy food,"More green city space - buy in bulk more, create less waste, buy second hand"
