"",Member ID,ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
3,199,openended1,"(PM2.5 and PM10)
High levels of air pollution from industrial emissions can lead to respiratory problems, such as asthma, bronchitis, and other chronic lung diseases.",1,26,89.52,20.31,2.93,,26,30.77,84.62,46.15,34.62,0,0,0,0,0,0,0,0,7.69,0,11.54,15.38,3.85,0,11.54,0,3.85,15.38,0,3.85,0,3.85,3.85,15.38,0,15.38,0,3.85,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0,23.08,19.23,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,3.85,0,0,0,3.85,0,3.85,0,0,0,0,0,0,26.92,7.69,11.54,0,0,0,7.69,0
3,199,openended2,"Increase green spaces and urban greenery, including parks, gardens, and tree-lined streets.",1,12,73.36,,39.59,,12,50,66.67,50,25,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,16.67,0,0,16.67,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16.67,8.33,0,0,0,0,0,0,0,0,0,0,0,41.67,8.33,25,0,0,0,8.33,0
3,199,openended3,Urban Heat Islands: Understanding the concept of urban heat islands and how they contribute to increased temperatures in urban areas.,1,20,94.88,69.2,99,,20,35,80,55,35,5,5,0,0,0,0,5,0,5,5,0,15,0,5,5,0,0,15,5,0,0,0,0,15,0,15,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0
3,199,openended4,"My father was a worker, and prolonged exposure to heat can cause heat stroke, which is characterized by a high body temperature and rapid heart rate.",1,26,64.84,40.06,30.98,,26,15.38,80.77,53.85,42.31,7.69,3.85,3.85,0,0,0,0,3.85,11.54,7.69,0,7.69,11.54,0,7.69,0,11.54,7.69,3.85,7.69,3.85,0,3.85,11.54,0,11.54,0,3.85,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,3.85,0,0,3.85,0,0,0,0,3.85,0,0,3.85,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,15.38,0,3.85,3.85,0,0,7.69,3.85,3.85,7.69,0,0,0,0,0,0,11.54,3.85,7.69,0,0,0,0,0
3,199,openended5,"Reduce vehicle emissions by carpooling, using public transportation, or biking/walking instead of driving.",1,14,89.52,1,97.09,,14,50,57.14,50,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,7.14,7.14,0,14.29,7.14,0,0,0,0,0,21.43,0,21.43,0,7.14,0,7.14,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,7.14,14.29,0,0,0,7.14,0
4,145,openended1,none,1,1,1,1,,,1,0,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,145,openended2,"By optimizing urban land use planning, governments can increase green coverage and protect existing trees and natural environments. Water management plans can also be implemented, including rainwater harvesting, irrigation system optimization, and so on.",1,34,37.99,,4.6,,17,47.06,67.65,47.06,32.35,0,0,0,0,0,0,0,0,0,0,0,8.82,8.82,5.88,14.71,0,11.76,8.82,2.94,8.82,0,5.88,2.94,14.71,0,14.71,5.88,2.94,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,2.94,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,2.94,11.76,0,0,8.82,2.94,0,0,0,0,5.88,5.88,0,0,0,0,0,17.65,5.88,11.76,0,0,0,0,0
4,145,openended3,"Obtain local climate data, including average temperature, frequency and intensity of high temperature and heat wave events. This data can help you understand changes and trends in urban heat. There are also local urban planning and land use policies, including green space coverage, building density and distribution of green infrastructure. And a strategy and action plan for heat mitigation in our cities here. This includes goals, priorities, timetables and budgets set by governments and community organizations.",1,76,60.19,77.01,84.38,61.63,15.2,34.21,76.32,51.32,35.53,5.26,2.63,0,1.32,1.32,0,0,2.63,5.26,1.32,0,10.53,2.63,3.95,13.16,0,7.89,10.53,1.32,9.21,3.95,5.26,0,7.89,0,7.89,3.95,2.63,1.32,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,6.58,1.32,1.32,0,0,0,0,3.95,0,0,0,0,1.32,1.32,0,0,2.63,0,0,1.32,1.32,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,1.32,0,0,3.95,25,0,2.63,15.79,2.63,0,3.95,2.63,0,3.95,2.63,0,0,0,0,0,14.47,6.58,7.89,0,0,0,0,0
4,145,openended4,"One hot summer day, my friends and I decided to go hiking and climb mountains. We chose a nearby mountain. At first the weather was cool, however, as we continued up the hill the sun became hotter and hotter, and the air felt hot and humid. Although we try to stay hydrated, we soon start to feel tired and low on energy due to the strenuous exercise and heat. I began to feel dizzy and have a headache, and gradually became weak. I realized it could be a sign of heat stroke. I told my friends, and they started noticing abnormalities in their bodies, too. We found a shady place to rest and kept exercise to a minimum. I felt worse and worse, I had a bad headache, and I even had symptoms of nausea and vomiting. Friends are experiencing similar symptoms. In an emergency, we immediately sought help and called the emergency number. Rescue workers arrived at the scene and provided us with first aid. They moved us to a shady spot and provided us with cooling towels and enough water to keep us hydrated. After a period of rest and medical care, our symptoms gradually eased. Rescuers advised us to regain our strength slowly and avoid exposure to the heat. Until we're completely back to normal.",1,200,67.69,84.82,81.21,14.73,13.33,20.5,91.5,71.5,49,12,11.5,4.5,5.5,0,0,1.5,0.5,12,8,1,11,3.5,2.5,11.5,0,16.5,9,4,9.5,7.5,1,1,8.5,0,8.5,4.5,0,1.5,0,0,1.5,0,8.5,4,4.5,1,0,1,0,0,0,0,13.5,4.5,2.5,0,0,0,1.5,9,0,1.5,0,0,0,0,0,0,1,0.5,0,0.5,0,0,8,7.5,3,1,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,0,4.5,14.5,1,3.5,5,0,0,7,5.5,11.5,1.5,0.5,0,0,0,0,0,13,7,6,0,0,0,0,0
4,145,openended4,"One hot summer day, my friends and I decided to go hiking and climb mountains. We chose a nearby mountain. At first the weather was cool, however, as we continued up the hill the sun became hotter and hotter, and the air felt hot and humid. Although we try to stay hydrated, we soon start to feel tired and low on energy due to the strenuous exercise and heat. I began to feel dizzy and have a headache, and gradually became weak. I realized it could be a sign of heat stroke. I told my friends, and they started noticing abnormalities in their bodies, too. We found a shady place to rest and kept exercise to a minimum. I felt worse and worse, I had a bad headache, and I even had symptoms of nausea and vomiting. Friends are experiencing similar symptoms. In an emergency, we immediately sought help and called the emergency number. Rescue workers arrived at the scene and provided us with first aid. They moved us to a shady spot and provided us with cooling towels and enough water to keep us hydrated. After a period of rest and medical care, our symptoms gradually eased. Rescuers advised us to regain our strength slowly and avoid exposure to the heat. Until we're completely back to normal.",2,18,49.68,99,77.17,99,9,16.67,94.44,66.67,61.11,16.67,16.67,0,16.67,0,0,0,0,11.11,5.56,0,22.22,5.56,11.11,11.11,0,5.56,5.56,0,27.78,16.67,5.56,5.56,5.56,0,5.56,0,0,0,0,5.56,0,0,11.11,11.11,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,5.56,0,5.56,16.67,0,5.56,5.56,0,0,5.56,11.11,0,5.56,0,0,0,0,0,0,16.67,11.11,0,0,0,5.56,0,0
4,145,openended5,"Plant more trees, actively participate in community and government environmental protection activities, indoor use of air purifiers and so on",1,20,80.96,89.5,28.56,,20,40,70,40,35,0,0,0,0,0,0,0,0,5,0,0,15,0,5,15,0,5,5,5,5,5,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
5,274,openended1,"Poor ventilation in buildings can contribute to indoor air pollution.
Air pollution can lead to an unpleasant odor, reducing overall quality of life for residents.",1,25,99,,1,1,12.5,40,64,44,32,0,0,0,0,0,0,0,0,4,4,0,20,8,0,0,0,8,12,0,8,0,4,8,16,0,16,0,4,8,0,0,0,0,8,0,8,4,0,4,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,12,8,4,0,0,0,0,0
5,274,openended2,Implement urban design strategies that incorporate natural ventilation and passive cooling techniques in buildings and homes.,1,16,62.1,,54.55,,16,56.25,62.5,37.5,25,6.25,0,0,0,0,0,0,6.25,6.25,0,0,6.25,0,0,12.5,0,0,12.5,0,12.5,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,25,0,0,18.75,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0
5,274,openended3,Educational institutions may have research papers or resources on urban heat and mitigation strategies.,1,14,35.59,9.23,24.32,,14,42.86,85.71,50,35.71,0,0,0,0,0,0,0,0,0,0,0,7.14,14.29,0,14.29,0,14.29,14.29,0,7.14,0,7.14,0,21.43,0,21.43,0,0,0,14.29,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,14.29,0,0,7.14,0,0,7.14,0,0,0,7.14,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0
5,274,openended4,"High temperatures can disrupt sleep patterns, leading to insomnia or poor sleep quality.",1,13,74.95,7.93,2.93,1,13,46.15,69.23,38.46,23.08,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,0,7.69,15.38,0,15.38,0,7.69,15.38,15.38,0,15.38,0,0,7.69,7.69,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,7.69,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,0
5,274,openended5,Advocate for green building practices in new construction projects.,1,9,99,,77.17,99,9,55.56,77.78,44.44,22.22,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,22.22,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
6,265,openended1,"Mining and quarrying operations can release particulate matter and pollutants into the air.
Decreased air quality can contribute to the deterioration of buildings and infrastructure over time.",1,27,93.76,,1,,13.5,40.74,59.26,44.44,40.74,0,0,0,0,0,0,0,0,7.41,7.41,0,14.81,7.41,0,11.11,0,7.41,0,3.7,0,0,0,0,11.11,0,11.11,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,7.41,0,0,7.41,0,0,0,0,0,7.41,0,0,0,0,0,0,7.41,7.41,0,0,0,0,0,0
6,265,openended2,Form partnerships with neighboring municipalities to develop regional strategies for mitigating high urban temperatures.,1,14,99,79.51,72.58,,14,57.14,71.43,42.86,21.43,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,21.43,0,21.43,14.29,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,7.14,0,0,0,0,7.14,7.14,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,21.43,0,0,21.43,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0
6,265,openended3,Local community organizations or neighborhood associations may provide information and resources on addressing urban heat.,1,15,59.67,77.41,93.95,,15,53.33,93.33,40,26.67,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,13.33,0,6.67,13.33,0,13.33,13.33,0,0,20,0,20,6.67,0,0,13.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,20,6.67,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,20,0,6.67,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13.33,0,0,6.67,0,0,6.67,6.67,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0
6,265,openended4,Hot cities may experience higher rates of food poisoning due to improper storage or preparation of food in hot conditions.,1,20,97.77,15.75,89.39,1,20,30,80,50,30,0,0,0,0,0,0,0,0,0,0,0,20,5,0,5,0,5,15,5,0,0,0,0,10,0,10,0,0,0,10,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,15,0,0,10,5,0,0,10,0,0,0,0,0,5,5,0,0,0,0,0,0
6,265,openended5,Promote the importance of indoor air quality by using air purifiers or filters.,1,13,99,7.93,30.98,,13,38.46,53.85,38.46,30.77,0,0,0,0,0,0,0,0,7.69,7.69,0,15.38,0,0,7.69,0,7.69,0,0,7.69,0,7.69,0,15.38,0,15.38,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0
7,270,openended1,"Agricultural burning practices can release pollutants into the air, affecting community air quality.
Increased healthcare costs can result from the treatment of air pollution-related illnesses.",1,25,98.41,63.73,1,1,12.5,52,56,40,28,0,0,0,0,0,0,0,0,8,8,0,12,8,0,0,0,12,0,8,8,4,4,0,16,0,16,0,8,8,0,0,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,16,8,4,0,0,0,4,0
7,270,openended2,Conduct research and monitor heat patterns within the city to inform evidence-based policies and interventions.,1,15,96.08,,63.35,,15,46.67,60,40,33.33,0,0,0,0,0,0,0,0,6.67,6.67,0,13.33,0,0,13.33,0,6.67,0,0,0,0,0,0,13.33,0,13.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,20,0,0,13.33,0,0,6.67,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,6.67,0
7,270,openended3,Public health departments may offer information on the health impacts of urban heat and mitigation strategies.,1,16,95.8,,15.38,,16,31.25,93.75,43.75,31.25,0,0,0,0,0,0,0,0,6.25,6.25,0,12.5,6.25,0,6.25,0,6.25,12.5,0,6.25,0,6.25,0,18.75,0,18.75,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,6.25,0,0,6.25,0,0,0,6.25,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0
7,270,openended4,"Prolonged exposure to sunlight can cause eye problems, including cataracts or retinal damage.",1,13,89.52,7.93,1,,13,53.85,61.54,30.77,30.77,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,7.69,0,7.69,0,0,0,0,0,0,30.77,0,30.77,0,7.69,7.69,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,15.38,0,0,0,0,7.69,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,0
7,270,openended5,"Support initiatives that reduce vehicle idling, such as anti-idling campaigns.",1,10,69.05,,,99,10,50,60,40,30,10,0,0,0,0,0,0,10,20,0,0,10,0,0,10,0,10,0,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,20,20,10,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,10,0,0,0,10,0
8,168,openended1,"Yes, wildfire smoke in the air, travelling from Canada has caused us to have air quality alerts a handful of times already this summer. Bad air quality has been causing myself and my neighbors to cough, develop headaches and congestion, and feel sluggish and irritable.",1,45,59.67,53.33,32.09,1,22.5,28.89,75.56,55.56,44.44,8.89,6.67,4.44,2.22,0,0,0,2.22,8.89,4.44,0,11.11,8.89,2.22,8.89,0,13.33,2.22,2.22,4.44,4.44,0,0,8.89,2.22,6.67,2.22,4.44,0,0,0,0,0,4.44,0,4.44,4.44,0,4.44,0,2.22,0,0,4.44,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,2.22,0,2.22,0,0,0,6.67,6.67,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,6.67,6.67,2.22,0,2.22,0,0,2.22,6.67,6.67,6.67,0,2.22,0,2.22,0,0,13.33,4.44,8.89,0,0,0,0,0
8,168,openended2,"Construct more community cooling spaces, and plant more green spaces.",1,10,69.05,89.5,63.35,,10,30,80,40,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,30,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,10,0,10,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0
