,Contribution ID,What do you think are the most urgent environmental issues facting your community?,I would like to learn more about how environmental issues impact my community.,"When I have questions about climate change or environmental issues, I know where to go for the information.",How informed would you now say you are about environmental issues in your community?,How much do you now feel like you know about climate change?,People like me can have a say in the environment justice issues related to my community.,People like me can have an impact on the environment policymaking process in my community. ,I have the knowledge and skills I need to improve environment in my community. ,I have the knowledge and skills I need to respond to the collective problems facing my community. ,I want to work with other community members to take actions to improve environment in my community. ,I can create positive changes in my life. ,I have the ownership over environment problems facing my community. ,What are your goals to improve the quality of environment?,Do you agree/disagree that new technology can slow down climate change?,"If there is new technology to slow down climate change, how likely are you willing to use it in your community?",Who do you think should be responsible for ensuring that new technology is developed to slow down climate change?,Who do you think should be responsible for ensuring that new technology is deployed equitably in our community?,What are your concerns of deploying new technologies such as the carbon dioxide removal storage in your neighborhood?,Climate change affects my health.,"In the future, what is the most convenient way for you to share your opinions about environmental issues and other social issues?",Do you agree or disagree with the statement that “climate change is happening”?,Do you agree or disagree with the statement that “climate change is caused by human activities”?,Gender,edu_recode,income_recode,race_recode,zip
14,126,Home energy savings tips; investing in technology to address climate change Enforcing policies that force businesses to include energy efficient practices,Agree Strongly,Disagree Somewhat,Moderately Informed,A Good Amount,Agree Somewhat,Neutral,Agree Somewhat,Neutral,Agree Strongly,Agree Strongly,Neutral,taking action; being & staying involved bringing ideas,Agree Strongly,Agree Strongly,12345,12345,not being aware or knowledge about it,Aware,1,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$25,000 to $34,999",Black,53711
15,127,awareness of our ** in this moment not 1960 or 2060 - them trees,Agree Strongly,Neutral,Slightly Informed,A Little,Agree Somewhat,Agree Strongly,NA,NA,Agree Strongly,Agree Strongly,Agree Somewhat,"awareness to be open and caring, turn off lights and H2O (which I have ** reasons) to say alloud to people around !!",Agree Somewhat,Disagree Somewhat,1234,1234,"the factories that make them, mistakes and what it takes to get there",Aware,1237,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53714
16,129,Clean Air Recycling,Agree Somewhat,Neutral,Moderately Informed,Some,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Neutral,Recycle more and be more attentive of my energy use,Agree Somewhat,Agree Somewhat,1,1,none,Aware,1,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
17,131,"housing costs, lack of access to **, lack of green space, garbage",Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Strongly,Agree Somewhat,Agree Somewhat,Neutral,Agree Somewhat,Agree Somewhat,Agree Somewhat,"build for efficiency, public transportation, true recycling programs, increase green space",Agree Somewhat,Agree Somewhat,12345,125,the solution needs to be economically financially feasible for the community,Aware,34,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$35,000 to $49,999",White,53715
18,133,we gotta plant more trees,Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,provide more info to our community,Agree Strongly,Agree Strongly,1234,12,1,Aware,123456,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Black,53718
19,136,"Heat, trees, energy saving",Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Somewhat,Disagree Strongly,Disagree Strongly,Agree Somewhat,Neutral,Agree Strongly,Disagree Strongly,saving energy,Disagree Strongly,Disagree Somewhat,2,34,n/a,Aware,123,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53704
20,139,No gardening,Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,cleaning the litter on my block,Disagree Strongly,Agree Strongly,2,2,Illegal dumping,Aware,1,Agree Strongly,Disagree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53719
21,142,Heat. It is deadly to my community.,Agree Somewhat,Agree Somewhat,Informed,A Good Amount,Neutral,Agree Somewhat,Neutral,Agree Strongly,Neutral,Agree Somewhat,Disagree Somewhat,"vote, turn of electronics when not used",Disagree Somewhat,Neutral,4,1,it will be placed in poor neighborhoods,Aware,346,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53703
22,144,Energy efficient housing,Agree Strongly,Agree Strongly,Very Informed,A lot,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Somewhat,"Do the things I have control over such as turning off the light, unpluging devices and planting plants",Agree Strongly,Agree Strongly,12345,12345,n/a,Aware,123456,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Black,53719
23,145,energy consumption,Agree Somewhat,Agree Somewhat,Very Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neutral,Agree Strongly,Agree Strongly,Agree Somewhat,"less watse, being more resourceful, wasting less",Agree Somewhat,Agree Somewhat,234,234,how will this affect the future can we survive without it,Aware,134,Agree Somewhat,Disagree Somewhat,Female,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Black,NA
24,149,The ability to afford to combat heat/cooling during hot/cld days. As well as climate change making the days hotter.,Agree Strongly,Neutral,Moderately Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Neutral,"plant a garden (community, talk to property owner), teach what I learned to people around me",Agree Somewhat,Agree Somewhat,12345,1,NA,Aware,123456,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
25,150,Climate change and changing the way of living,Agree Strongly,Agree Somewhat,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,Agree Strongly,Agree Somewhat,cut down electricity we use,Agree Somewhat,Agree Somewhat,1234,1234,none,Aware,134,Agree Strongly,Agree Strongly,Female,NA,"$50,000 to $74,999",Black,53719
26,153,Everything that the table leaders had discussed,Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,To educate my daughter more on things I learned that maybe she havent brought to my attention or told me about or discussed with me,Agree Somewhat,Disagree Somewhat,123,1,I wouldn't my community wouldn't like it. And it could kill us.,Aware,1234567,Agree Strongly,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53713
27,154,Reduce Carbon Emissions,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,"First learn more about environmental issues in my local community. 2nd, find out where & how to get involved to improve my environment.",Agree Somewhat,Agree Somewhat,1234,12345,My concern is that all citizens will have access to the new tech. Disposal sites are often put in poorer neighborhoods & are not safe.,Aware,3,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"Less than $25,000",Black,53704
28,155,tech,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Strongly,Agree Somewhat,Neutral,Agree Strongly,Neutral,Agree Somewhat,to help out the your nighboorhood,Neutral,Agree Somewhat,1,1,what if it doesn't work,NA,1,Agree Strongly,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
29,156,"climate change, lack of resources",Agree Somewhat,Agree Somewhat,Informed,Some,Agree Somewhat,Neutral,Neutral,Neutral,Agree Somewhat,Agree Strongly,Neutral,recycle more use less energy & water,Neutral,Neutral,4,2,unsure,Aware,1,Agree Strongly,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",White,53719
30,157,I loved it,Agree Strongly,Agree Strongly,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,to use try green,Agree Somewhat,Agree Somewhat,2,1,we need more trees,Aware,1237,Disagree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Black,53713
31,158,"Access to food, water, shelter",Agree Strongly,Disagree Somewhat,Slightly Informed,Some,Neutral,Neutral,Neutral,Neutral,Agree Strongly,Agree Somewhat,Agree Somewhat,Reduce waste,Neutral,Neutral,3,14,1,Aware,123,Agree Strongly,Agree Strongly,Non-binary,Bachelors Degree or Higher,"Less than $25,000",Black,53704
32,159,The changing climate and what we as individuals can do that will impact climate change.,Agree Strongly,Agree Strongly,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,"Is to reduce my carbon use in the world. It is also do what I can to improve climate around my environment by turning off lights when not using them, decreasing water consumption and to winterize my home.",Agree Strongly,Agree Somewhat,12345,12345,Equitable access to things needed to decrease carbon dioxide because these things tend to be more costly.,Aware,13,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$200,000 or more",White,53704
33,163,NA,Agree Strongly,Agree Somewhat,Moderately Informed,Some,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neutral,Agree Somewhat,Agree Somewhat,Disagree Somewhat,NA,Neutral,Neutral,2,4,1,Aware,1235,Neutral,Neutral,Female,NA,"Less than $25,000",NA,53713
34,164,I live in a low income complex and charges alot for energy,Agree Strongly,Disagree Strongly,Slightly Informed,A Little,Agree Somewhat,Agree Somewhat,Neutral,Neutral,Agree Somewhat,Agree Somewhat,Neutral,To learn more about the quality of environment,Neutral,Agree Somewhat,13,1,not sure,Aware,7,Agree Strongly,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53711
35,165,"Global warming, drug usage, homelessness",Agree Somewhat,Disagree Somewhat,Slightly Informed,Some,Agree Strongly,Agree Somewhat,Disagree Strongly,Disagree Strongly,Agree Somewhat,Agree Strongly,Neutral,NA,Neutral,Neutral,1,5,NA,Aware,1,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Black,53713
36,169,water access,Agree Strongly,Neutral,Moderately Informed,A Little,Agree Strongly,Agree Strongly,Neutral,Neutral,Agree Strongly,Agree Strongly,Neutral,NA,Agree Somewhat,Agree Somewhat,1345,NA,NA,Aware,12346,Agree Strongly,Agree Somewhat,Non-binary,High School Graduate (Includes Equivalency),"Less than $25,000",Black,NA
37,170,prices rising,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Strongly,Neutral,"unplug stuff, cover windows, look for help w/ new windows",Agree Somewhat,Neutral,1,1,NA,Aware,1356,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"Less than $25,000",White,53713
38,171,Energy use,Agree Strongly,Agree Somewhat,Informed,Some,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neutral,Agree Strongly,Agree Strongly,"I can improve quality of my environment by using tips that I have learned today, to save on my utility bill",Agree Somewhat,Disagree Somewhat,1,1,"in the short term goal of new technology it can be good, but can create more environmental problems in the long run",Aware,1234,Agree Somewhat,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"$50,000 to $74,999",Black,NA
39,200,To much pullution from cars and buses,Agree Strongly,Agree Somewhat,Very Informed,A Good Amount,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Neutral,Take part in keeping it clean,Agree Somewhat,Agree Somewhat,5,1,use electric power,Aware,2,Agree Strongly,Agree Strongly,Female,NA,"Less than $25,000",NA,53711
40,103,Garbage is thrown into the street and not where it should be.,Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neutral,Agree Strongly,Agree Strongly,Agree Strongly,Create awareness.,Agree Somewhat,Agree Somewhat,1,1,NA,Aware,In-person event like today,Agree Strongly,Agree Strongly,Male,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53562
41,104,Garbage management.,Agree Strongly,Disagree Strongly,Not at all Informed,A Good Amount,Disagree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Plant trees; recycle; energy saving,Agree Strongly,Agree Strongly,1,1,Poor side effects.,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Hispanic,53562
42,105,I am not informed.,Agree Strongly,Disagree Strongly,Not at all Informed,Some,Agree Strongly,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,NA,Agree Somewhat,Neutral,1,1,NA,NA,In-person event like today,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,NA
43,107,"Lack of information, community awareness.",Agree Strongly,Agree Strongly,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,"Use less electrical energy, use or replace household appliances as soon as possible.",Agree Somewhat,Agree Strongly,1,1,Who doesn't know how to make changes that benefit the environment.,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Hispanic,53713
44,108,Plant more trees in spacious places.,Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,NA,Agree Strongly,Agree Strongly,1,1,NA,Aware,In-person event like today,Disagree Strongly,Disagree Strongly,Female,Less than High School Diploma,"Less than $25,000",Hispanic,53593
45,109,Many trees are missing - (Mexico). None in Verona.,Agree Strongly,Agree Strongly,Very Informed,A lot,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Plantar.,Agree Strongly,Agree Strongly,1,1,NA,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,Less than High School Diploma,"Less than $25,000",Hispanic,53593
46,111,"We need to plant more trees, collect the leaves in autumn, recycle more, train in energy saving.",Agree Strongly,Agree Strongly,Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Train me more on this problem.,Agree Strongly,Agree Strongly,NA,NA,That they do not threaten the normal development of nature.,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,NA
47,112,"Pollution, regulate air quality, low arborization.",Agree Strongly,Agree Strongly,Slightly Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,"Electrify the home, optimize energy consumption, recycle correctly and use bicycle transport.",Agree Strongly,Agree Strongly,NA,5,It would be important that the environment is not impacted.,Aware,NA,Agree Strongly,Agree Strongly,Male,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53562
48,113,trees are missing,Agree Strongly,NA,Very Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,NA,Agree Strongly,Agree Somewhat,4,4,NA,Aware,Other,Agree Strongly,Agree Strongly,Male,Less than High School Diploma,"Less than $25,000",Hispanic,NA
49,114,"1. Pollution from the individual use of automobiles, 2. The high cost of electricity.",Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Reduce my footprint on Earth. Renovate my home to save energy.,Neutral,Neutral,4,1,I'm worried. I believe that natural ways should be used to protect the environment. Technology can have pros and cons.,Aware,NA,Agree Strongly,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53704
50,115,"1. From the problem of pollution, 2. Deforestation, 3. From mal uso del agua.",Agree Strongly,Agree Strongly,Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Neutral,I hope to help plant trees to improve the environment.,Agree Strongly,Agree Somewhat,4,1,"My main concern about the implementation of new technologies is how expensive and viable they will be, because it is always better to take advantage of natural means to achieve this change.",Aware,In-person event like today,Agree Strongly,Agree Strongly,Male,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53704
51,116,Too many chemicals are being used worldwide to make nature care products.,Agree Strongly,Agree Somewhat,Moderately Informed,A Good Amount,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Educate new generations more about the climate problem.,Agree Strongly,Agree Somewhat,NA,NA,NA,Aware,Use of a website to post your opinions,Agree Strongly,Agree Strongly,Male,Some College or Associates Degree,"Less than $25,000",Hispanic,53562
52,118,"That the government authorizes construction and does not set rules on forestation, in the end there are only buildings without trees. In children's playgrounds, there are no trees either. They should plant trees around children's games.",Agree Somewhat,Disagree Somewhat,Moderately Informed,Some,Neutral,Neutral,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neutral,Disagree Somewhat,"Have faith that the government and private companies want to work with the community and when they have a plan, include me to help.",Neutral,Agree Somewhat,NA,NA,I have no worries. Just do it soon and it works and preserve the lives of the animals.,NA,In-person event like today,Agree Strongly,Agree Strongly,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,53713
53,119,Excessive energy consumption and gases harmful to health and flora.,Agree Somewhat,Neutral,Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Neutral,Neutral,Agree Somewhat,Agree Strongly,Neutral,Reduce the consumption of products harmful to health.,Agree Somewhat,Agree Somewhat,4,1,NA,Aware,In-person event like today,Agree Somewhat,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Hispanic,53704
54,122,The increase in heat,Agree Strongly,Neutral,Not at all Informed,A Little,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,"Eliminate pesticides, collect trash, eliminate aerosols.",Disagree Somewhat,Agree Strongly,NA,NA,NA,Aware,Use of a website to post your opinions,Disagree Somewhat,Agree Strongly,Female,Some College or Associates Degree,NA,Hispanic,53713
55,124,Deforest to build buildings,Agree Strongly,Neutral,Very Informed,A lot,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Take care of energy consumption in my home.,Agree Strongly,Agree Strongly,NA,NA,I am excited by the idea that someone can do something to improve the environment.,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
56,125,Climate change affects my health and that of my family,Agree Somewhat,Agree Somewhat,Slightly Informed,Some,NA,NA,Agree Strongly,NA,Agree Somewhat,NA,NA,"Put into practice ways to save energy in my house, not produce so much waste.",NA,NA,NA,NA,NA,Aware,Other,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
57,126,"Climate change, increase in heat waves",Agree Strongly,NA,Moderately Informed,A Good Amount,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,NA,Agree Strongly,Agree Somewhat,1,1,NA,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
58,127,"Air pollution (recycling plant, wastewater pollutes the air)",Agree Strongly,Agree Strongly,Very Informed,A Good Amount,Agree Somewhat,Agree Somewhat,NA,Disagree Somewhat,Agree Somewhat,Agree Strongly,Neutral,Use as little fossil fuels as possible.,Agree Strongly,Agree Strongly,1,1,The cost of technology implementation,Aware,In-person event like today,Agree Strongly,Agree Strongly,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53713
59,130,More accessible energy,Agree Strongly,Disagree Strongly,Informed,A Good Amount,Agree Somewhat,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Strongly,Recycle as much as possible,Neutral,Neutral,2,1,NA,NA,In-person event like today,Agree Strongly,Agree Strongly,Male,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53562
60,131,"The industries, the politicians.",Agree Strongly,Agree Somewhat,Informed,A Good Amount,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,NA,Agree Somewhat,Agree Somewhat,"Take care of trees, electricity and water",Agree Somewhat,Agree Somewhat,5,2,"The use of chemicals, spray, in agriculture",Aware,In-person event like today,Agree Somewhat,Agree Strongly,Female,Bachelors Degree or Higher,"Less than $25,000",Hispanic,53562
61,132,The use of electricity,Agree Strongly,Agree Somewhat,Moderately Informed,A Good Amount,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,NA,Agree Somewhat,Neutral,1,1,If I would have something negative in the future.,Aware,In-person event like today,Agree Strongly,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Hispanic,53562
