104,"Mi vecindario cuenta con espacios verdes, arboles, se encuentra lejos de la industria lo que favorece la calidad",Me parece importante que haga principalmente en areas cercanas a las escuelas e industrias importantes por los niños y la reduccion de contaminacion,"No hemos hecho nada, nos lo impide la falta de conocimiento al respecto",No obtengo informacion,"aplicacion, correo electronico",asistir a eventos
137,,,Se plantar arboles,left_blank,Por correo electronico,Asistir a eventos
205,Gracias a Dios en donde vivo no tengo problema,"En las areas mas transitadas, escuelas, en supermercados en donde se pueda poner.","No, recien  me he mudado pero pienso hacerlo",En un lugar seguro que me lo haga saber ya sea alguna aplicacion,redes sociales o mensajes de texto,Si me gustaria por ejemplo asistir a eventos
207,Ninguno,pienso que es mejor la manera de monitorear y creo que todas las areas son importantes,,"Todavia no, esper empezar pronto",Todas me parecen bien,Asistiendo al evento
208,"Vivo al final de Midleton, cerca de dos parques y un rio. Pienso que no tenemos problemas con la calidad de aire.",Donde la ciudad sea mas conveniente.,"Vivo en un apt, asi que no tengo muchas opciones, pero si tengo macetas con plantas en el balcon.",left_blank,mensajes de texto,conectarme con el grupo de trabajo o correo electronico
209,No,"Cerca a las areas residenciales, escuelas y areas urbanas. La informacion que estos sensores pueden obtener deberia venir de las areas donde vive mas gente","No, no he hecho nada para mejora la calidad de aire de mi vecindario por falta de conocimientos",N/A,Mensaje de texto,Asistir a eventos comunitarios
210,Personalmente no estoy experimentando problemas con el aire,idealmente las escuelas ya que alli se concentran nuestros hijos,eliminar udar productos de limpieza del hogar,left_blank,"asociaciones de vecinos, noticieros locales",Asistiendo a enventos informativos
212,"No, I feel that my neighborhood doesn't have problems with air quality",I would like to see these monitors near schools or commercial areas so that people there can be informaed about the climate around them.,"No, I haven't really done anything in my neighborhood but onw that I'm better informed, I know that I would like to help.","Online, if there actually is any information available.",Online or through the mail.,I would like to volunteer or be a part of these opportunities.
221,"Es posible ya que se han presentados muchas afecciones respiratorios, especialmente en los niños","Creo que sería util la instalacion de humidificadores, pero realmente no se si esto sirve de algo","Hemos implementado la utilizacion de humidificadores, pero no se si esto realmente sirve de algo",No lo se,Creo que es mas util en una aplicacion,Asistir a eventos comunitarios
224,Tal vez en las horas pico se puede sentir el smog de los carros,Creo que seria algo logico en areas mas pobladas,Instalamos un rain garden,Noticias,Mensajes de texto,Realmente no soy una persona sociable
148,left_blank,"En generla los monitores deberian estar en todos los barrios de la ciudad, especialmente en zonas en que hay industrias que contaminan el aire",Hemos planeado arboles en nuestra propiedad especialmente para reponer lo que hemos perdido son prodcuto del invierno,sinceramente no lo hago,"mensaje de texto, boletin a mi correo electronico",Ya sea asistiendo a un evento o contactando al grupo de trabajo
149,No,"centro, las escuelas, parques, cerca de las fabricas y autopistas",No,no tenmos donde ver esa informacion y si existe no al conozco,"Instagram, boletines de la ciudad de Madison",Asistir al evento comnitario
152,"Si, pero no tanto porque vivo en un pequeño pueblo",Me parece que se deberian mandar por correos a todas los residentes de Madison,"Si, planté 6 arboles y compre plantas que purifican el aire",No obtengo ninguna informacion,Por las redes y por correo,Asistiendo a mas eventos como estos
153,"Un poco, me preocupa que haya mucha gente con asthma","Seria bueno crear cerca de las escuelas, donde pasan tiempo nuestros hijos, tambien en parques",plante arboles en casa,No tenia ni idea de donde hacerlo hasta hoy,"correo elctronico, redes sociales, mensajes de texto, pero no mas boletines por favor, la ciudad y escuelas y oficinas deberian dejar de usar tanto paprl de esa manera dejamos de tallar arboles",si me gustaria participar
154,"siento que no es solo en el vecindario, si no en toda la ciudad ya que vivimos en una ciudad donde no existe conscientizacion",escuelas y areas residenciales porque es donde se pasa mas tiempo,no he tenido oportunidad,"Internet, reuniones de comunidad",Boletines informaticos,Asistir al evento para poder ser el mensajero que pase la informacion
163,"no, no tenemos ningun probelma","Me gustaria que los instalaran en las escuelas, parques y diferentes vecindarios donde no hay arboles","si, siembro plantas en mi hogar. Necesito ayudar mas en mi vecindario",No reviso la calidad del aire,Me gustaria recibir mensaje de texto,Me gustaria asistir a un evento comonitario
201,"Si, en mi area no hay mcuhos arboles y tambien vivimos cerca de un tratamiento de aguas negras, mucho polvo","En todas las escuelas, apartament neighborhoods y trailer communities.","No se que hacer, con la excepcion de cerrar mis ventanas. Talvez necesito limpiar mis airducts?",nunca lo habia hecho,"por correo electronioc y en juntas como estas, cada trimestre","Si, y en todos mencionados arriba"
501,It smells like poop porque vivimos cerca de la planta de tratamiento de aguas negras,"todos, porque todos semerecen este monitoreo",las restricciones de lciudad,noticieros o celulares,texto,left_blank
150,Me gustaria que los instalen por Middleton cerca a las escuelas y areas residenciales para ver la calidad del aire.,"Si, lhe comprado un purificador de aire para el uso en casa",En las noticias de TV,Me gustaria por mensaje de texto y redes sociales de acuerdo al area en el que vivimos,Me gustaria que puedan ser instaladospor el area de Middleton y asistir a las reuniones de informacionde resultados.,
156,No,I think they should be place in schools and commercial areas as in heavy traffic areas,In my neighborhood no but in my home I clean my home and changing my air filter,In my weather ,text,yes
164,"No en realidad, ya que vivo en un pueblo, pero vivo en frente de un supermercado donde vienen muchos caminoes (smock)","cerca de las escuelas para el bienestar de los niños.Cerca de casas de ancianos y lugares donde hay mucho trafico de personas personas caminando, todo por la salud de las personas",No lo he hecho porque no lo habia pensado antes,"No tengo nada de informacion, ni se donde podria obtenerla",email y redes sociales,asistir al evento comunitario y ser mensajero de mi comunidad
165,No,"Downton.East washington, Allen Drive, South Side",No,news ,mensajes de texto,asistir a un vento comunitario
214,"Si, muchos automoviles suendo muchos de ellos en mal estado, edificios en mal estado sin buena ventilacion","Escuelas, areas residenciales y se me hacen importantes estos lugeres porque son donde mas tiempo pasan nuestros hijos",En mi hogar me gustan mucho las plantas asiq ue tengo algunas dentro y fuera de mi apartamento cuando el clima lo permite,no sabia que exitia esta informacion,todas son perfectas para recibir informacion,de las dos formas se me hacen interesantes al igual pasare esta informaciona personas de mi trabajo
216,"siendo sincera, tendria que poner atencion en cuanto a la calidad de aire a mi alrededor","principalmente donde mantiene el alojo de personas. (commercial areas, public spaces)etc","Hasta el momento no he hecho nada para mejorar esto, pero tendré más consciencia despues de hoy",En google y si en el momento pasa algo que afecte esto y haga hablar del tema,Pienso que el impacto informativo en las redes sociales seria bueno puesto que las personas estan en esto todo el tiempo,Por el momento siendo participe por del evento
222,Aun no he detectado esa situacion,en las fabricas o parques industriales para poder tener un seguimiento de la calidad del aire en esas zonas,Monitorear las calles con basure y ecoger algunos desperdicios que el recolectar no alcance a tomar cuando los botes de basura estan llenos,en la aplicacion del clima en mi telefono,"redes sociales, website",ambas formas me interesaria formar parte
505,No,By all of the manufacturing buildings downtown (nea runiversity) and schools,"buying plants, not driving as much",N/A,email atysxx@gmail.com,plating trees or plants or learning more about ways to contribute
