"","X","ID","How.important.are.trees.to.your.everyday.life","Do.you.agree.disagree.that.having.green.spaces.and.trees.has.impacted.your.health.and.quality.of.life.","Trees.capture.carbon.from.the.atmosphere.","Trees.can.reduce.flooding.during.summer.","Gender","edu_recode","income_recode","race_recode","zip","min"
"32",32,159,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","$200,000 or more","White",53704,"no"
"33",33,163,"Somewhat Unimportant","Neutral","Aware","Aware","Female",NA,"Less than $25,000",NA,53713,"no"
"34",34,164,"Very Important","Agree Somewhat","Aware","Aware","Female","HS","Less than $25,000","Black",53711,"yes"
"35",35,165,"Extremely Important","Agree Strongly","Aware","Aware","Male","HS","Less than $25,000","Black",53713,"yes"
"36",36,169,"Extremely Important","Agree Strongly","Aware","Aware","Non-binary","HS","Less than $25,000","Black",NA,"yes"
"37",37,170,"Very Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","White",53713,"no"
"38",38,171,"Somewhat Important","Agree Somewhat","Aware","Aware","Female","HS","$50,000 to $74,999","Black",NA,"yes"
"39",39,200,"Extremely Important","Agree Somewhat","Aware","Aware","Female",NA,"Less than $25,000",NA,53711,"no"
"40",40,103,"Extremely Important","Agree Somewhat","Aware","Aware","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"41",41,104,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"42",42,105,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",NA,"yes"
"43",43,107,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","$35,000 to $49,999","Hispanic",53713,"yes"
"44",44,108,"Extremely Important","Agree Strongly","Aware","Aware","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"45",45,109,"Extremely Important","Agree Strongly","Aware","Aware","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"46",46,111,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",NA,"yes"
"47",47,112,"Extremely Important","Agree Strongly","Aware","Aware","Male","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"48",48,113,"Extremely Important","Agree Strongly","Aware","Aware","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
"49",49,114,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",53704,"yes"
"50",50,115,"Extremely Important","Agree Strongly","Aware","Aware","Male","COLLEGE","$75,000 to $99,999","Hispanic",53704,"yes"
"51",51,116,"Extremely Important","Agree Strongly","Aware","Aware","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"52",52,118,"Extremely Important","Agree Somewhat",NA,"Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"53",53,119,"Extremely Important","Agree Somewhat","Aware","Aware","Male","HS","$25,000 to $34,999","Hispanic",53704,"yes"
"54",54,122,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE",NA,"Hispanic",53713,"yes"
"55",55,124,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"56",56,125,"Extremely Important","Agree Strongly",NA,"Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"57",57,126,"Extremely Important","Agree Strongly",NA,"Aware","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"58",58,127,"Extremely Important","Disagree Strongly","Aware","Aware","Male","HS","Less than $25,000","Hispanic",53713,"yes"
"59",59,130,"Extremely Important","Agree Strongly","Aware","Aware","Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"60",60,131,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"61",61,132,"Extremely Important","Agree Strongly","Aware","Aware","Female","HS","$75,000 to $99,999","Hispanic",53562,"yes"
"62",62,133,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"63",63,135,"Extremely Important","Agree Strongly","Aware","Aware","Female",NA,"Less than $25,000","Hispanic",53719,"yes"
"64",64,136,"Extremely Important","Agree Somewhat","Aware","Aware","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53719,"yes"
"65",65,137,"Extremely Important","Disagree Strongly","Aware","Aware","Female",NA,"$35,000 to $49,999","Hispanic",53562,"yes"
"66",66,138,"Extremely Important","Agree Strongly","Aware","Aware","Male","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"67",67,141,NA,"Agree Strongly",NA,NA,"Female",NA,NA,"Hispanic",53593,"yes"
"68",68,144,"Extremely Important","Agree Somewhat",NA,NA,"Female","HS","Less than $25,000","Hispanic",53704,"yes"
"69",69,145,"Very Unimportant","Agree Somewhat","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"70",70,146,"Extremely Unimportant","Disagree Strongly",NA,NA,"Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53713,"yes"
"71",71,147,"Very Important","Agree Strongly","Aware","Aware","Male","HS","Less than $25,000","Hispanic",53715,"yes"
"72",72,148,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","Less than $25,000","Hispanic",NA,"yes"
"73",73,149,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$50,000 to $74,999","Hispanic",53593,"yes"
"74",74,150,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"75",75,152,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53575,"yes"
"76",76,153,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53575,"yes"
"77",77,154,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"78",78,155,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53562,"yes"
"79",79,156,"Extremely Important","Agree Strongly","Aware","Aware","Male","HS","$75,000 to $99,999","Hispanic",53711,"yes"
"80",80,157,"Extremely Important","Agree Strongly","Aware","Aware","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"81",81,158,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53711,"yes"
"82",82,159,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE",NA,"Hispanic",53703,"yes"
"83",83,160,"Extremely Important","Agree Strongly","Aware","Aware","Female","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"84",84,162,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53590,"yes"
"85",85,163,"Extremely Important","Agree Strongly","Aware","Aware","Female",NA,NA,"Hispanic",NA,"yes"
"86",86,165,"Extremely Important","Agree Strongly","Aware","Aware","Male","HS","$35,000 to $49,999","Hispanic",53593,"yes"
"87",87,170,"Very Important","Agree Somewhat","Aware","Aware","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"88",88,171,"Extremely Important","Agree Strongly","Aware","Aware","Female","SOME_COLLEGE","Less than $25,000","Hispanic",5137,"yes"
"89",89,173,"Very Important","Agree Somewhat","Aware","Aware","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
