"","Climate.change.affects.my.health.","In.the.future..what.is.the.most.convenient.way.for.you.to.share.your.opinions.about.environmental.issues.and.other.social.issues.","Do.you.agree.or.disagree.with.the.statement.that..climate.change.is.happening..","Do.you.agree.or.disagree.with.the.statement.that..climate.change.is.caused.by.human.activities..","Gender","edu_recode","income_recode","race_recode","zip","min"
"40","Aware","In-person event like today","Agree Strongly","Agree Strongly","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"41","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"42",NA,"In-person event like today","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",NA,"yes"
"43","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","HS","$35,000 to $49,999","Hispanic",53713,"yes"
"44","Aware","In-person event like today","Disagree Strongly","Disagree Strongly","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"45","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","LESS_THAN_HS","Less than $25,000","Hispanic",53593,"yes"
"46","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","COLLEGE","$25,000 to $34,999","Hispanic",NA,"yes"
"47","Aware",NA,"Agree Strongly","Agree Strongly","Male","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"48","Aware","Other","Agree Strongly","Agree Strongly","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
"49","Aware",NA,"Agree Strongly","Agree Strongly","Female","COLLEGE","$25,000 to $34,999","Hispanic",53704,"yes"
"50","Aware","In-person event like today","Agree Strongly","Agree Strongly","Male","COLLEGE","$75,000 to $99,999","Hispanic",53704,"yes"
"51","Aware","Use of a website to post your opinions","Agree Strongly","Agree Strongly","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"52",NA,"In-person event like today","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"53","Aware","In-person event like today","Agree Somewhat","Agree Strongly","Male","HS","$25,000 to $34,999","Hispanic",53704,"yes"
"54","Aware","Use of a website to post your opinions","Disagree Somewhat","Agree Strongly","Female","SOME_COLLEGE",NA,"Hispanic",53713,"yes"
"55","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"56","Aware","Other","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"57","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","HS","Less than $25,000","Hispanic",53562,"yes"
"58","Aware","In-person event like today","Agree Strongly","Agree Strongly","Male","HS","Less than $25,000","Hispanic",53713,"yes"
"59",NA,"In-person event like today","Agree Strongly","Agree Strongly","Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"60","Aware","In-person event like today","Agree Somewhat","Agree Strongly","Female","COLLEGE","Less than $25,000","Hispanic",53562,"yes"
"61","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","HS","$75,000 to $99,999","Hispanic",53562,"yes"
"62","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"63","Aware","In-person event like today","Disagree Strongly","Disagree Strongly","Female",NA,"Less than $25,000","Hispanic",53719,"yes"
"64","Aware",NA,"Agree Strongly","Agree Somewhat","Male","SOME_COLLEGE","Less than $25,000","Hispanic",53719,"yes"
"65","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female",NA,"$35,000 to $49,999","Hispanic",53562,"yes"
"66","Aware",NA,"Agree Strongly","Agree Strongly","Male","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"67",NA,"Use of a website to post your opinions","Disagree Strongly","Disagree Strongly","Female",NA,NA,"Hispanic",53593,"yes"
"68","Aware",NA,"Disagree Strongly","Agree Somewhat","Female","HS","Less than $25,000","Hispanic",53704,"yes"
"69","Aware","In-person event like today","Neutral","Agree Somewhat","Female","SOME_COLLEGE","Less than $25,000","Hispanic",53713,"yes"
"70",NA,"In-person event like today","Disagree Strongly","Disagree Strongly","Male","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53713,"yes"
"71","Aware","Online survey","Agree Somewhat","Agree Somewhat","Male","HS","Less than $25,000","Hispanic",53715,"yes"
"72","Aware",NA,"Agree Strongly","Agree Strongly","Female","COLLEGE","Less than $25,000","Hispanic",NA,"yes"
"73",NA,"In-person event like today","Agree Strongly","Agree Strongly","Female","COLLEGE","$50,000 to $74,999","Hispanic",53593,"yes"
"74","Aware",NA,"Agree Strongly","Agree Strongly","Female","COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"75",NA,NA,"Agree Somewhat","Agree Somewhat","Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53575,"yes"
"76","Aware","In-person event like today","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53575,"yes"
"77","Aware","In-person event like today","Agree Somewhat","Agree Somewhat","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53719,"yes"
"78","Aware",NA,"Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53562,"yes"
"79","Aware",NA,"Agree Somewhat","Agree Somewhat","Male","HS","$75,000 to $99,999","Hispanic",53711,"yes"
"80","Aware","Text messages","Agree Strongly","Agree Strongly","Male","SOME_COLLEGE","$35,000 to $49,999","Hispanic",53562,"yes"
"81","Aware","Use of a website to post your opinions","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$75,000 to $99,999","Hispanic",53711,"yes"
"82","Aware","Online survey","Agree Strongly","Agree Strongly","Female","SOME_COLLEGE",NA,"Hispanic",53703,"yes"
"83","Aware","In-person event like today","Agree Somewhat","Agree Strongly","Female","COLLEGE","$75,000 to $99,999","Hispanic",53562,"yes"
"84","Aware",NA,"Agree Strongly","Agree Strongly","Female","SOME_COLLEGE","$50,000 to $74,999","Hispanic",53590,"yes"
"85","Aware",NA,NA,NA,"Female",NA,NA,"Hispanic",NA,"yes"
"86","Aware","In-person event like today","Agree Strongly","Agree Strongly","Male","HS","$35,000 to $49,999","Hispanic",53593,"yes"
"87","Aware",NA,"Agree Strongly","Agree Somewhat","Female","SOME_COLLEGE","$25,000 to $34,999","Hispanic",53562,"yes"
"88","Aware","Online survey","Disagree Strongly",NA,"Female","SOME_COLLEGE","Less than $25,000","Hispanic",5137,"yes"
"89","Aware",NA,"Agree Somewhat","Agree Strongly","Male","LESS_THAN_HS","Less than $25,000","Hispanic",NA,"yes"
