"","STATEFP.x","COUNTYFP","TRACTCE","GEOID.x","NAME.x","NAMELSAD","MTFCC","FUNCSTAT","ALAND.x","AWATER.x","INTPTLAT","INTPTLON","STATEFP.y","SLDUST","AFFGEOID","GEOID.y","NAME.y","LSAD","LSY","ALAND.y","AWATER.y"
"387","55","137","960800","55137960800","9608","Census Tract 9608","G5020","S",172341250,1920835,"+44.0661427","-089.3084578","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"387.1","55","137","960800","55137960800","9608","Census Tract 9608","G5020","S",172341250,1920835,"+44.0661427","-089.3084578","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"388","55","101","001504","55101001504","15.04","Census Tract 15.04","G5020","S",3346883,951975,"+42.7933358","-087.7915383","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"389","55","035","001700","55035001700","17","Census Tract 17","G5020","S",2515899,191002,"+44.7979718","-091.5005853","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"390","55","131","450103","55131450103","4501.03","Census Tract 4501.03","G5020","S",55351787,315954,"+43.3427948","-088.1346870","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"391","55","131","450105","55131450105","4501.05","Census Tract 4501.05","G5020","S",38511213,634031,"+43.3474301","-088.2377357","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"392","55","131","440106","55131440106","4401.06","Census Tract 4401.06","G5020","S",92643504,1016014,"+43.2417332","-088.3515119","55","013","610U600US55013","55013","13","LU","2018",3083970087,78470566
"392.1","55","131","440106","55131440106","4401.06","Census Tract 4401.06","G5020","S",92643504,1016014,"+43.2417332","-088.3515119","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"392.2","55","131","440106","55131440106","4401.06","Census Tract 4401.06","G5020","S",92643504,1016014,"+43.2417332","-088.3515119","55","033","610U600US55033","55033","33","LU","2018",600587062,41472530
"392.3","55","131","440106","55131440106","4401.06","Census Tract 4401.06","G5020","S",92643504,1016014,"+43.2417332","-088.3515119","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"393","55","131","440103","55131440103","4401.03","Census Tract 4401.03","G5020","S",29105574,120955,"+43.3415660","-088.3824846","55","013","610U600US55013","55013","13","LU","2018",3083970087,78470566
"393.1","55","131","440103","55131440103","4401.03","Census Tract 4401.03","G5020","S",29105574,120955,"+43.3415660","-088.3824846","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"394","55","131","400104","55131400104","4001.04","Census Tract 4001.04","G5020","S",84464733,0,"+43.4081633","-088.0962407","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"395","55","131","450104","55131450104","4501.04","Census Tract 4501.04","G5020","S",54113532,0,"+43.3017619","-088.1322111","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"395.1","55","131","450104","55131450104","4501.04","Census Tract 4501.04","G5020","S",54113532,0,"+43.3017619","-088.1322111","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"396","55","079","070200","55079070200","702","Census Tract 702","G5020","S",2588251,2069356,"+43.1141984","-087.8945189","55","004","610U600US55004","55004","4","LU","2018",100579158,1758822
"396.1","55","079","070200","55079070200","702","Census Tract 702","G5020","S",2588251,2069356,"+43.1141984","-087.8945189","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"397","55","079","980000","55079980000","9800","Census Tract 9800","G5020","S",2026519,4018925,"+43.0444511","-087.8873906","55","007","610U600US55007","55007","7","LU","2018",150298951,1407370347
"398","55","079","060102","55079060102","601.02","Census Tract 601.02","G5020","S",3023037,0,"+43.1486555","-087.9397577","55","004","610U600US55004","55004","4","LU","2018",100579158,1758822
"398.1","55","079","060102","55079060102","601.02","Census Tract 601.02","G5020","S",3023037,0,"+43.1486555","-087.9397577","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"399","55","079","187000","55079187000","1870","Census Tract 1870","G5020","S",359241,0,"+43.0553060","-087.8872851","55","007","610U600US55007","55007","7","LU","2018",150298951,1407370347
"400","55","131","420402","55131420402","4204.02","Census Tract 4204.02","G5020","S",1745824,0,"+43.4303803","-088.2001642","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"401","55","131","420106","55131420106","4201.06","Census Tract 4201.06","G5020","S",5693176,0,"+43.4442513","-088.2063201","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"402","55","131","470204","55131470204","4702.04","Census Tract 4702.04","G5020","S",10375815,159,"+43.2046050","-088.0861644","55","004","610U600US55004","55004","4","LU","2018",100579158,1758822
"402.1","55","131","470204","55131470204","4702.04","Census Tract 4702.04","G5020","S",10375815,159,"+43.2046050","-088.0861644","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"403","55","131","470203","55131470203","4702.03","Census Tract 4702.03","G5020","S",8980031,62391,"+43.2277997","-088.1008621","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"404","55","087","012505","55087012505","125.05","Census Tract 125.05","G5020","S",25402931,26702,"+44.3073594","-088.4584745","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"404.1","55","087","012505","55087012505","125.05","Census Tract 125.05","G5020","S",25402931,26702,"+44.3073594","-088.4584745","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"405","55","087","012506","55087012506","125.06","Census Tract 125.06","G5020","S",11539283,94,"+44.2657425","-088.4810313","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"406","55","079","018600","55079018600","186","Census Tract 186","G5020","S",478342,0,"+42.9955754","-087.9225565","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"407","55","139","002400","55139002400","24","Census Tract 24","G5020","S",23967488,90751,"+44.2253731","-088.4941001","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"408","55","139","000100","55139000100","1","Census Tract 1","G5020","S",1174851,270166,"+44.0124098","-088.5251085","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"409","55","139","001100","55139001100","11","Census Tract 11","G5020","S",2698989,48926,"+44.0197668","-088.5710558","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"410","55","139","002000","55139002000","20","Census Tract 20","G5020","S",182238157,8895534,"+43.9882829","-088.7168490","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"410.1","55","139","002000","55139002000","20","Census Tract 20","G5020","S",182238157,8895534,"+43.9882829","-088.7168490","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"410.2","55","139","002000","55139002000","20","Census Tract 20","G5020","S",182238157,8895534,"+43.9882829","-088.7168490","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"411","55","139","003702","55139003702","37.02","Census Tract 37.02","G5020","S",36003520,27024446,"+44.1385714","-088.4745028","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"411.1","55","139","003702","55139003702","37.02","Census Tract 37.02","G5020","S",36003520,27024446,"+44.1385714","-088.4745028","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"412","55","139","002300","55139002300","23","Census Tract 23","G5020","S",160560116,6858028,"+44.1664512","-088.5737102","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"412.1","55","139","002300","55139002300","23","Census Tract 23","G5020","S",160560116,6858028,"+44.1664512","-088.5737102","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"412.2","55","139","002300","55139002300","23","Census Tract 23","G5020","S",160560116,6858028,"+44.1664512","-088.5737102","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"413","55","139","000200","55139000200","2","Census Tract 2","G5020","S",1152368,244779,"+44.0209323","-088.5243533","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"414","55","139","000400","55139000400","4","Census Tract 4","G5020","S",2822678,0,"+44.0428820","-088.5354155","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"415","55","139","003000","55139003000","30","Census Tract 30","G5020","S",1554906,3204919,"+44.1959892","-088.4408596","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"415.1","55","139","003000","55139003000","30","Census Tract 30","G5020","S",1554906,3204919,"+44.1959892","-088.4408596","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"416","55","139","002100","55139002100","21","Census Tract 21","G5020","S",232126955,62264372,"+44.0295336","-088.8281415","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"416.1","55","139","002100","55139002100","21","Census Tract 21","G5020","S",232126955,62264372,"+44.0295336","-088.8281415","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"416.2","55","139","002100","55139002100","21","Census Tract 21","G5020","S",232126955,62264372,"+44.0295336","-088.8281415","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"417","55","139","000500","55139000500","5","Census Tract 5","G5020","S",2332995,111963,"+44.0235398","-088.5380069","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"418","55","139","001900","55139001900","19","Census Tract 19","G5020","S",119357846,67975957,"+43.9430324","-088.5326799","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"418.1","55","139","001900","55139001900","19","Census Tract 19","G5020","S",119357846,67975957,"+43.9430324","-088.5326799","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"419","55","139","000900","55139000900","9","Census Tract 9","G5020","S",3784015,857860,"+44.0474116","-088.5606239","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"420","55","139","000800","55139000800","8","Census Tract 8","G5020","S",1318674,67561,"+44.0356897","-088.5542486","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"421","55","139","002601","55139002601","26.01","Census Tract 26.01","G5020","S",4513634,2487590,"+44.2234026","-088.4511006","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"422","55","139","000700","55139000700","7","Census Tract 7","G5020","S",1208465,80297,"+44.0265143","-088.5502411","55","018","610U600US55018","55018","18","LU","2018",1568804577,338141357
"423","55","087","012602","55087012602","126.02","Census Tract 126.02","G5020","S",121256361,280919,"+44.2822172","-088.6492661","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"423.1","55","087","012602","55087012602","126.02","Census Tract 126.02","G5020","S",121256361,280919,"+44.2822172","-088.6492661","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"423.2","55","087","012602","55087012602","126.02","Census Tract 126.02","G5020","S",121256361,280919,"+44.2822172","-088.6492661","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"424","55","087","012601","55087012601","126.01","Census Tract 126.01","G5020","S",49895291,41738,"+44.2891826","-088.5273056","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"424.1","55","087","012601","55087012601","126.01","Census Tract 126.01","G5020","S",49895291,41738,"+44.2891826","-088.5273056","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"425","55","087","012901","55087012901","129.01","Census Tract 129.01","G5020","S",92921468,0,"+44.3711213","-088.3136839","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"425.1","55","087","012901","55087012901","129.01","Census Tract 129.01","G5020","S",92921468,0,"+44.3711213","-088.3136839","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"426","55","087","012504","55087012504","125.04","Census Tract 125.04","G5020","S",11331903,0,"+44.3135571","-088.3743288","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"426.1","55","087","012504","55087012504","125.04","Census Tract 125.04","G5020","S",11331903,0,"+44.3135571","-088.3743288","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"427","55","087","012503","55087012503","125.03","Census Tract 125.03","G5020","S",5330257,0,"+44.3137821","-088.4051011","55","002","610U600US55002","55002","2","LU","2018",3623735920,50781853
"427.1","55","087","012503","55087012503","125.03","Census Tract 125.03","G5020","S",5330257,0,"+44.3137821","-088.4051011","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"428","55","079","003500","55079003500","35","Census Tract 35","G5020","S",1158407,0,"+43.0936322","-087.9983012","55","006","610U600US55006","55006","6","LU","2018",50661998,116587
"429","55","139","003100","55139003100","31","Census Tract 31","G5020","S",1465011,2618999,"+44.1935586","-088.4361573","55","001","610U600US55001","55001","1","LU","2018",3903672534,7110221700
"429.1","55","139","003100","55139003100","31","Census Tract 31","G5020","S",1465011,2618999,"+44.1935586","-088.4361573","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"430","55","139","003300","55139003300","33","Census Tract 33","G5020","S",1967320,73925,"+44.1801254","-088.4665689","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"431","55","133","203306","55133203306","2033.06","Census Tract 2033.06","G5020","S",15241630,205530,"+43.0656885","-088.2262818","55","033","610U600US55033","55033","33","LU","2018",600587062,41472530
"432","55","139","003400","55139003400","34","Census Tract 34","G5020","S",3913783,47892,"+44.1845959","-088.4783988","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"433","55","139","003500","55139003500","35","Census Tract 35","G5020","S",2691073,59303,"+44.1591000","-088.4774193","55","019","610U600US55019","55019","19","LU","2018",827747802,144570388
"434","55","025","012501","55025012501","125.01","Census Tract 125.01","G5020","S",26024982,241716,"+42.9274417","-089.3620163","55","015","610U600US55015","55015","15","LU","2018",2375992041,69709602
"434.1","55","025","012501","55025012501","125.01","Census Tract 125.01","G5020","S",26024982,241716,"+42.9274417","-089.3620163","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"434.2","55","025","012501","55025012501","125.01","Census Tract 125.01","G5020","S",26024982,241716,"+42.9274417","-089.3620163","55","016","610U600US55016","55016","16","LU","2018",569648175,29195084
"435","55","025","013700","55025013700","137","Census Tract 137","G5020","S",19150289,183241,"+42.9629264","-089.5421875","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"436","55","079","017900","55079017900","179","Census Tract 179","G5020","S",612846,0,"+42.9987735","-087.9050358","55","007","610U600US55007","55007","7","LU","2018",150298951,1407370347
"436.1","55","079","017900","55079017900","179","Census Tract 179","G5020","S",612846,0,"+42.9987735","-087.9050358","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"437","55","111","000600","55111000600","6","Census Tract 6","G5020","S",215871980,1116702,"+43.3532516","-089.8829476","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"437.1","55","111","000600","55111000600","6","Census Tract 6","G5020","S",215871980,1116702,"+43.3532516","-089.8829476","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"438","55","111","000800","55111000800","8","Census Tract 8","G5020","S",236267196,12462802,"+43.2181921","-089.9993440","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"438.1","55","111","000800","55111000800","8","Census Tract 8","G5020","S",236267196,12462802,"+43.2181921","-089.9993440","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"439","55","111","000500","55111000500","5","Census Tract 5","G5020","S",235723951,9722813,"+43.3926648","-089.7374094","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"440","55","111","000300","55111000300","3","Census Tract 3","G5020","S",52194791,668166,"+43.4639620","-089.7936444","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"440.1","55","111","000300","55111000300","3","Census Tract 3","G5020","S",52194791,668166,"+43.4639620","-089.7936444","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"441","55","111","000700","55111000700","7","Census Tract 7","G5020","S",20050801,1845439,"+43.2602812","-089.7706609","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"442","55","111","000100","55111000100","1","Census Tract 1","G5020","S",187997432,9593595,"+43.5504814","-089.7284869","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"442.1","55","111","000100","55111000100","1","Census Tract 1","G5020","S",187997432,9593595,"+43.5504814","-089.7284869","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"442.2","55","111","000100","55111000100","1","Census Tract 1","G5020","S",187997432,9593595,"+43.5504814","-089.7284869","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"443","55","111","000900","55111000900","9","Census Tract 9","G5020","S",354542009,5497449,"+43.5524940","-090.1534468","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"443.1","55","111","000900","55111000900","9","Census Tract 9","G5020","S",354542009,5497449,"+43.5524940","-090.1534468","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"444","55","111","001100","55111001100","11","Census Tract 11","G5020","S",478227326,1274933,"+43.3428914","-090.0810952","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"444.1","55","111","001100","55111001100","11","Census Tract 11","G5020","S",478227326,1274933,"+43.3428914","-090.0810952","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"445","55","111","000200","55111000200","2","Census Tract 2","G5020","S",269203185,1938292,"+43.5650550","-089.9375410","55","017","610U600US55017","55017","17","LU","2018",11239762031,230747742
"445.1","55","111","000200","55111000200","2","Census Tract 2","G5020","S",269203185,1938292,"+43.5650550","-089.9375410","55","027","610U600US55027","55027","27","LU","2018",4214651842,79853893
"445.2","55","111","000200","55111000200","2","Census Tract 2","G5020","S",269203185,1938292,"+43.5650550","-089.9375410","55","014","610U600US55014","55014","14","LU","2018",7855996835,282210519
"446","55","079","017300","55079017300","173","Census Tract 173","G5020","S",511004,0,"+43.0036525","-087.9487721","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"447","55","079","017200","55079017200","172","Census Tract 172","G5020","S",485608,0,"+43.0028945","-087.9561902","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"448","55","079","017400","55079017400","174","Census Tract 174","G5020","S",326534,0,"+43.0047662","-087.9382983","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"449","55","079","017500","55079017500","175","Census Tract 175","G5020","S",488635,0,"+43.0028744","-087.9296512","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"450","55","059","000800","55059000800","8","Census Tract 8","G5020","S",1296106,0,"+42.5951890","-087.8407654","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"451","55","059","002700","55059002700","27","Census Tract 27","G5020","S",92784360,940443,"+42.5422426","-088.0111539","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"451.1","55","059","002700","55059002700","27","Census Tract 27","G5020","S",92784360,940443,"+42.5422426","-088.0111539","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"452","55","059","002800","55059002800","28","Census Tract 28","G5020","S",247216742,1545939,"+42.6179834","-088.1070684","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"452.1","55","059","002800","55059002800","28","Census Tract 28","G5020","S",247216742,1545939,"+42.6179834","-088.1070684","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"452.2","55","059","002800","55059002800","28","Census Tract 28","G5020","S",247216742,1545939,"+42.6179834","-088.1070684","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"453","55","059","990000","55059990000","9900","Census Tract 9900","G5020","S",0,1226915263,"+42.5798495","-087.4234862","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"454","55","059","000100","55059000100","1","Census Tract 1","G5020","S",12085066,0,"+42.6496346","-087.8294168","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"454.1","55","059","000100","55059000100","1","Census Tract 1","G5020","S",12085066,0,"+42.6496346","-087.8294168","55","022","610U600US55022","55022","22","LU","2018",133274394,4184118
"455","55","089","650102","55089650102","6501.02","Census Tract 6501.02","G5020","S",2479080,0,"+43.3030755","-087.9979412","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"456","55","127","000102","55127000102","1.02","Census Tract 1.02","G5020","S",57068627,861887,"+42.7926790","-088.3417023","55","028","610U600US55028","55028","28","LU","2018",516519159,21483723
"456.1","55","127","000102","55127000102","1.02","Census Tract 1.02","G5020","S",57068627,861887,"+42.7926790","-088.3417023","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"457","55","127","000301","55127000301","3.01","Census Tract 3.01","G5020","S",170876583,3749324,"+42.7883361","-088.6740301","55","015","610U600US55015","55015","15","LU","2018",2375992041,69709602
"457.1","55","127","000301","55127000301","3.01","Census Tract 3.01","G5020","S",170876583,3749324,"+42.7883361","-088.6740301","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"458","55","127","001702","55127001702","17.02","Census Tract 17.02","G5020","S",154056122,600353,"+42.5253901","-088.5126105","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"458.1","55","127","001702","55127001702","17.02","Census Tract 17.02","G5020","S",154056122,600353,"+42.5253901","-088.5126105","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"459","55","127","001604","55127001604","16.04","Census Tract 16.04","G5020","S",26812313,5181431,"+42.5405959","-088.5718621","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"460","55","127","001701","55127001701","17.01","Census Tract 17.01","G5020","S",47055042,1730089,"+42.5523009","-088.3501991","55","021","610U600US55021","55021","21","LU","2018",1275300272,2427242738
"460.1","55","127","001701","55127001701","17.01","Census Tract 17.01","G5020","S",47055042,1730089,"+42.5523009","-088.3501991","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"461","55","127","000701","55127000701","7.01","Census Tract 7.01","G5020","S",12467230,271976,"+42.6386398","-088.6586714","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"462","55","127","001501","55127001501","15.01","Census Tract 15.01","G5020","S",16113571,2193811,"+42.6076747","-088.5046258","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"463","55","127","000702","55127000702","7.02","Census Tract 7.02","G5020","S",7894280,399570,"+42.6389348","-088.6373402","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"464","55","127","001502","55127001502","15.02","Census Tract 15.02","G5020","S",14494527,1699140,"+42.6038855","-088.4574377","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"465","55","127","000902","55127000902","9.02","Census Tract 9.02","G5020","S",5952900,0,"+42.6718830","-088.5300227","55","011","610U600US55011","55011","11","LU","2018",2582695181,70042321
"466","55","089","650200","55089650200","6502","Census Tract 6502","G5020","S",5509048,59544,"+43.2847495","-087.9852488","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"466.1","55","089","650200","55089650200","6502","Census Tract 6502","G5020","S",5509048,59544,"+43.2847495","-087.9852488","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"467","55","089","990000","55089990000","9900","Census Tract 9900","G5020","S",0,2281553556,"+43.3607524","-087.4993036","55","020","610U600US55020","55020","20","LU","2018",2543861755,2357570087
"467.1","55","089","990000","55089990000","9900","Census Tract 9900","G5020","S",0,2281553556,"+43.3607524","-087.4993036","55","008","610U600US55008","55008","8","LU","2018",630602556,1052680549
"468","55","063","010101","55063010101","101.01","Census Tract 101.01","G5020","S",342112361,1270445,"+43.9809740","-091.0271184","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"468.1","55","063","010101","55063010101","101.01","Census Tract 101.01","G5020","S",342112361,1270445,"+43.9809740","-091.0271184","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"468.2","55","063","010101","55063010101","101.01","Census Tract 101.01","G5020","S",342112361,1270445,"+43.9809740","-091.0271184","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"469","55","063","001200","55063001200","12","Census Tract 12","G5020","S",2390691,0,"+43.7839823","-091.2111059","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"470","55","063","010402","55063010402","104.02","Census Tract 104.02","G5020","S",8166570,0,"+43.9043226","-091.2345442","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"471","55","063","010700","55063010700","107","Census Tract 107","G5020","S",69135655,8926109,"+43.7530764","-091.1535778","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"472","55","063","010203","55063010203","102.03","Census Tract 102.03","G5020","S",11882692,0,"+43.9375264","-091.3073638","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"473","55","063","000300","55063000300","3","Census Tract 3","G5020","S",4790067,5704349,"+43.8326180","-091.2708340","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"474","55","063","010401","55063010401","104.01","Census Tract 104.01","G5020","S",56535781,69291,"+43.9251796","-091.1455913","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"475","55","063","000400","55063000400","4","Census Tract 4","G5020","S",1713342,0,"+43.8135636","-091.2430956","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"476","55","063","000200","55063000200","2","Census Tract 2","G5020","S",5852733,320682,"+43.8350509","-091.2373808","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"477","55","063","010600","55063010600","106","Census Tract 106","G5020","S",62771893,3438,"+43.8274323","-091.1649646","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"478","55","063","010201","55063010201","102.01","Census Tract 102.01","G5020","S",172273716,935206,"+44.0082085","-091.2036658","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"478.1","55","063","010201","55063010201","102.01","Census Tract 102.01","G5020","S",172273716,935206,"+44.0082085","-091.2036658","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"479","55","063","000100","55063000100","1","Census Tract 1","G5020","S",7099569,281354,"+43.8597686","-091.2263812","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"480","55","063","010800","55063010800","108","Census Tract 108","G5020","S",291361751,0,"+43.8076567","-091.0089277","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"480.1","55","063","010800","55063010800","108","Census Tract 108","G5020","S",291361751,0,"+43.8076567","-091.0089277","55","024","610U600US55024","55024","24","LU","2018",7436309723,224351968
"481","55","063","000700","55063000700","7","Census Tract 7","G5020","S",6691950,0,"+43.8028237","-091.2049649","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"482","55","063","010102","55063010102","101.02","Census Tract 101.02","G5020","S",9476598,1171197,"+43.9010438","-091.0706581","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"483","55","063","010300","55063010300","103","Census Tract 103","G5020","S",11348555,1003321,"+43.8804491","-091.2577570","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"484","55","063","000600","55063000600","6","Census Tract 6","G5020","S",4707073,0,"+43.8191890","-091.2073277","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"485","55","011","960400","55011960400","9604","Census Tract 9604","G5020","S",332561445,16228355,"+44.3473939","-091.8023709","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"486","55","011","960500","55011960500","9605","Census Tract 9605","G5020","S",453600715,26348463,"+44.2067797","-091.6405088","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"487","55","011","960300","55011960300","9603","Census Tract 9603","G5020","S",334778852,42245837,"+44.4660999","-091.9663739","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"488","55","011","960200","55011960200","9602","Census Tract 9602","G5020","S",29568690,343252,"+44.5750896","-091.6574074","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"489","55","011","960100","55011960100","9601","Census Tract 9601","G5020","S",599776564,2388165,"+44.4799978","-091.6885960","55","031","610U600US55031","55031","31","LU","2018",8107495301,232697345
"490","55","079","017600","55079017600","176","Census Tract 176","G5020","S",471588,0,"+43.0028087","-087.9223606","55","003","610U600US55003","55003","3","LU","2018",59340991,172273
"491","55","063","000500","55063000500","5","Census Tract 5","G5020","S",3234059,0,"+43.8229516","-091.2290400","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"492","55","063","000800","55063000800","8","Census Tract 8","G5020","S",1125852,0,"+43.8070548","-091.2336233","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
"493","55","063","000900","55063000900","9","Census Tract 9","G5020","S",3213741,2225246,"+43.7905959","-091.2449128","55","032","610U600US55032","55032","32","LU","2018",5606612247,211769513
