,Contribution ID,Climate pollutants come from transportation and buildings that burn lots of fossil fuels etc.,Carbon dioxide can be removed by growing more trees.,Carbon dioxide can be removed by new technologies.,Gender,edu_recode,income_recode,race_recode,zip
60,131,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"Less than $25,000",Hispanic,53562
61,132,Aware,Aware,NA,Female,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Hispanic,53562
62,133,Aware,Aware,Aware,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53719
63,135,Aware,Aware,Aware,Female,NA,"Less than $25,000",Hispanic,53719
64,136,Aware,Aware,Aware,Male,Some College or Associates Degree,"Less than $25,000",Hispanic,53719
65,137,Aware,Aware,Aware,Female,NA,"$35,000 to $49,999",Hispanic,53562
66,138,Aware,Aware,Aware,Male,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53562
67,141,NA,NA,NA,Female,NA,NA,Hispanic,53593
68,144,Aware,Aware,NA,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53704
69,145,Aware,Aware,Aware,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,53713
70,146,NA,NA,NA,Male,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53713
71,147,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53715
72,148,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"Less than $25,000",Hispanic,NA
73,149,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$50,000 to $74,999",Hispanic,53593
74,150,Aware,Aware,NA,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53562
75,152,NA,Aware,NA,Female,Some College or Associates Degree,"$75,000 to $99,999",Hispanic,53575
76,153,Aware,Aware,Aware,Female,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53575
77,154,Aware,Aware,Aware,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53719
78,155,Aware,Aware,Aware,Female,Some College or Associates Degree,"$50,000 to $74,999",Hispanic,53562
79,156,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Hispanic,53711
80,157,Aware,Aware,Aware,Male,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53562
81,158,Aware,Aware,NA,Female,Some College or Associates Degree,"$75,000 to $99,999",Hispanic,53711
82,159,NA,Aware,Aware,Female,Some College or Associates Degree,NA,Hispanic,53703
83,160,Aware,Aware,Aware,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53562
84,162,Aware,Aware,Aware,Female,Some College or Associates Degree,"$50,000 to $74,999",Hispanic,53590
85,163,Aware,NA,Aware,Female,NA,NA,Hispanic,NA
86,165,Aware,Aware,Aware,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Hispanic,53593
87,170,Aware,Aware,Aware,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53562
88,171,Aware,Aware,Aware,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,5137
89,173,Aware,Aware,Aware,Male,Less than High School Diploma,"Less than $25,000",Hispanic,NA
