,ID,How important is energy saving at home to your everyday life,Do you agree/disagree that energy saving has impacted your quality of life?,Gender,edu_recode,income_recode,race_recode,zip
39,200,Extremely Important,Agree Strongly,Female,NA,"Less than $25,000",NA,53711
40,103,Extremely Important,Agree Somewhat,Male,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53562
41,104,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$35,000 to $49,999",Hispanic,53562
42,105,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,NA
43,107,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Hispanic,53713
44,108,Extremely Important,Agree Strongly,Female,Less than High School Diploma,"Less than $25,000",Hispanic,53593
45,109,Extremely Important,Agree Strongly,Female,Less than High School Diploma,"Less than $25,000",Hispanic,53593
46,111,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,NA
47,112,Extremely Important,Agree Strongly,Male,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53562
48,113,Extremely Important,Agree Strongly,Male,Less than High School Diploma,"Less than $25,000",Hispanic,NA
49,114,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53704
50,115,Extremely Important,Agree Strongly,Male,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53704
51,116,Extremely Important,Agree Strongly,Male,Some College or Associates Degree,"Less than $25,000",Hispanic,53562
52,118,Neither Important nor Unimportant,Neutral,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,53713
53,119,Somewhat Important,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"$25,000 to $34,999",Hispanic,53704
54,122,Extremely Important,Disagree Strongly,Female,Some College or Associates Degree,NA,Hispanic,53713
55,124,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
56,125,Extremely Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
57,126,Extremely Important,Neutral,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53562
58,127,Extremely Important,Disagree Strongly,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53713
59,130,Extremely Important,Agree Strongly,Male,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53562
60,131,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"Less than $25,000",Hispanic,53562
61,132,Extremely Important,Agree Strongly,Female,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Hispanic,53562
62,133,Extremely Important,Disagree Strongly,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53719
63,135,Extremely Important,Agree Somewhat,Female,NA,"Less than $25,000",Hispanic,53719
64,136,Extremely Important,Agree Somewhat,Male,Some College or Associates Degree,"Less than $25,000",Hispanic,53719
65,137,Extremely Important,Disagree Strongly,Female,NA,"$35,000 to $49,999",Hispanic,53562
66,138,Very Important,Agree Strongly,Male,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53562
67,141,Extremely Unimportant,Agree Strongly,Female,NA,NA,Hispanic,53593
68,144,Extremely Important,Agree Somewhat,Female,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53704
69,145,Extremely Important,Agree Somewhat,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,53713
70,146,Extremely Unimportant,Disagree Strongly,Male,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53713
71,147,Very Important,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"Less than $25,000",Hispanic,53715
72,148,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"Less than $25,000",Hispanic,NA
73,149,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$50,000 to $74,999",Hispanic,53593
74,150,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$25,000 to $34,999",Hispanic,53562
75,152,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$75,000 to $99,999",Hispanic,53575
76,153,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53575
77,154,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53719
78,155,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$50,000 to $74,999",Hispanic,53562
79,156,Extremely Important,Agree Strongly,Male,High School Graduate (Includes Equivalency),"$75,000 to $99,999",Hispanic,53711
80,157,Extremely Important,Agree Strongly,Male,Some College or Associates Degree,"$35,000 to $49,999",Hispanic,53562
81,158,Extremely Important,Agree Strongly,Female,Some College or Associates Degree,"$75,000 to $99,999",Hispanic,53711
82,159,Very Important,Agree Somewhat,Female,Some College or Associates Degree,NA,Hispanic,53703
83,160,Extremely Important,Agree Strongly,Female,Bachelors Degree or Higher,"$75,000 to $99,999",Hispanic,53562
84,162,Extremely Important,Agree Somewhat,Female,Some College or Associates Degree,"$50,000 to $74,999",Hispanic,53590
85,163,Extremely Important,Agree Strongly,Female,NA,NA,Hispanic,NA
86,165,Extremely Important,Agree Somewhat,Male,High School Graduate (Includes Equivalency),"$35,000 to $49,999",Hispanic,53593
87,170,Extremely Important,Agree Somewhat,Female,Some College or Associates Degree,"$25,000 to $34,999",Hispanic,53562
88,171,Extremely Important,Agree Somewhat,Female,Some College or Associates Degree,"Less than $25,000",Hispanic,5137
89,173,Extremely Important,Agree Somewhat,Male,Less than High School Diploma,"Less than $25,000",Hispanic,NA
