Survey,Question,Type,SubType,CCS
oct_general,"When I have questions about climate change or environmental issues, I know where to go for the information.",Matrix,agree,0
oct_general,How informed would you now say you are about environmental issues in your community?,Matrix,informed,0
oct_general,How much do you now feel like you know about climate change?,Matrix,amount,0
oct_general,People like me can have a say in the environment justice issues related to my community.,Matrix,agree,0
oct_general,People like me can have an impact on the environment policymaking process in my community. ,Matrix,agree,0
oct_general,I have the knowledge and skills I need to improve environment in my community. ,Matrix,agree,0
oct_general,I have the knowledge and skills I need to respond to the collective problems facing my community. ,Matrix,agree,0
oct_general,I want to work with other community members to take actions to improve environment in my community. ,Matrix,agree,0
oct_general,I can create positive changes in my life. ,Matrix,agree,0
oct_general,I have the ownership over environment problems facing my community. ,Matrix,agree,0
oct_general,What are your goals to improve the quality of environment?,Open-ended,agree,0
oct_general,Do you agree/disagree that new technology can slow down climate change?,Matrix,agree,0
oct_general,"If there is new technology to slow down climate change, how likely are you willing to use it in your community?",Matrix,agree,0
oct_general,Who do you think should be responsible for ensuring that new technology is developed to slow down climate change?,Multi-Choice,,0
oct_general,Who do you think should be responsible for ensuring that new technology is deployed equitably in our community?,Multi-Choice,,0
oct_general,What are your concerns of deploying new technologies such as the carbon dioxide removal storage in your neighborhood?,Open-ended,,0
oct_general,Climate change affects my health.,Matrix,aware,0
oct_general,"In the future, what is the most convenient way for you to share your opinions about environmental issues and other social issues?",Multi-Choice,,0
oct_general,Do you agree or disagree with the statement that climate change is happening?,Matrix,agree,0
oct_general,Do you agree or disagree with the statement that climate change is caused by human activities?,Matrix,agree,0
oct_health,How important is extreme heat to your everyday life ,Matrix,importance,0
oct_health,Do you agree/disagree that extreme heat has impacted your life?,Matrix,agree,0
oct_health,Insulation and weatherization are ways to reduce energy consumption at my home.,Matrix,aware,0
oct_health,Electrification is one way to reduce carbon emissions at my home.,Matrix,aware,0
oct_health,I can go to a cooling center during extreme heat weather to stay cool.,Matrix,aware,0
oct_health,"In Dane County, days over 100F will double in the next 30 years.",Matrix,aware,0
oct_health,Extreme heat is dangerous to my health.,Matrix,aware,0
